HD 3765      3206 57.90 0.98 5002  57 0.426 0.010  7.063  7.360 0.940 0.540 0.440 5.69 0.02 5.27 0.05 5.16 0.02  0.01  0.05 a
HD 4256      3535 45.43 0.95 4966  46 0.326 0.007  7.675  7.990 0.990 0.560 0.460 6.31 0.02 5.87 0.04 5.74 0.03  0.34 -0.08 b
HD 4308      3497 45.76 0.56 5781  88 0.423 0.013  6.449  6.560 0.650 0.373 0.352 5.37 0.02 5.10 0.02 4.95 0.02 -0.40  0.05 c
HD 4747      3850 53.09 1.02 5406  53 0.375 0.008  7.002  7.155 0.790 0.420 0.400 5.81 0.02 5.43 0.05 5.30 0.03 -0.21  0.06 d
HD 5133      4148 71.01 0.78 4956  52 0.474 0.011  6.870  7.180 0.940 0.540 0.460 5.54 0.03 5.05 0.03 4.89 0.03 -0.10  0.04 e
HD 8638      6607 24.75 1.22 5568  59 0.207 0.005  8.164  8.300 0.690 0.385 0.365 7.00 0.02 6.68 0.03 6.62 0.02 -0.50  0.12 c
HD 10002     7539 29.72 1.08 5258  63 0.254 0.006  7.968  8.140 0.860 0.450 0.390 6.68 0.02 6.34 0.03 6.21 0.02  0.20  0.00 b
HD 10853     8275 43.37 1.38 4638  78 0.267 0.009  8.405  8.910 1.040 0.625 0.537 6.93 0.02 6.44 0.03 6.32 0.02 -0.74  0.21 f
HD 11020     8346 25.79 1.28 5288  31 0.172 0.002  8.790  8.980 0.810 0.443 0.405 7.55 0.03 7.13 0.05 7.06 0.02 -0.28  0.21 b
HD 11130     8543 37.33 0.97 5219  44 0.270 0.005  7.868  8.070 0.758 0.430 0.403 6.60 0.02 6.20 0.02 6.11 0.02 -0.57  0.15 f
HD 11373     8867 45.16 1.09 4738  58 0.301 0.008  8.052  8.483 1.020 0.607 0.489 6.61 0.02 6.11 0.04 6.02 0.02 -0.45  0.12 f
HD 16623    12364 15.18 1.15 5858  55 0.149 0.003  8.657  8.760 0.600 0.335 0.335 7.62 0.02 7.30 0.04 7.28 0.04 -0.60  0.13 c
HD 17190    12926 38.95 1.13 5139  74 0.302 0.009  7.692  7.878 0.827 0.418 0.404 6.37 0.02 6.00 0.04 5.87 0.03 -0.11 -0.00 b
HD 18632    13976 42.66 1.22 4984  87 0.316 0.011  7.726  8.020 0.918 0.529 0.439 6.32 0.02 5.95 0.04 5.84 0.02  0.18 -0.01 g
HD 21197    15919 66.15 0.95 4577  60 0.453 0.013  7.314  7.868 1.162 0.684 0.565 5.83 0.02 5.31 0.03 5.12 0.02  0.27  0.13 j
HD 22879    17147 41.07 0.86 5930  67 0.379 0.009  6.577  6.679 0.550 0.325 0.337 5.59 0.02 5.30 0.03 5.18 0.02 -0.91  0.34 b
HD 25329    18915 54.14 1.08 4796  62 0.279 0.008  8.164  8.519 0.876 0.495 0.478 6.77 0.03 6.30 0.04 6.20 0.01 -1.80  0.49 i
HD 25665    19422 54.17 0.79 4902  65 0.380 0.011  7.398  7.757 0.873 0.567 0.443 5.99 0.03 5.54 0.03 5.46 0.02 -0.03 -0.00 b
HD 25673    19007 24.23 1.53 5132 113 0.145 0.007  9.291  9.532 0.823 0.467 0.443 7.96 0.02 7.65 0.04 7.46 0.03 -0.53  0.15 i
HD 28946    21272 37.33 2.58 5308  55 0.271 0.006  7.787  7.940 0.764 0.392 0.400 6.52 0.02 6.16 0.03 6.07 0.02 -0.03 -0.04 h
HD 30501    22122 48.90 0.64 5153  40 0.350 0.006  7.360  7.580 0.880 0.480 0.425 6.06 0.02 5.64 0.02 5.53 0.02  0.13 -0.02 j
HD 31128    22632 15.55 1.20 6089  81 0.118 0.003  8.996  9.135 0.489 0.309 0.325 8.03 0.02 7.80 0.03 7.74 0.02 -1.54  0.41 i
HD 34328    24316 14.55 1.01 6025  70 0.106 0.003  9.275  9.427 0.496 0.312 0.335 8.32 0.02 8.05 0.03 8.00 0.03 -1.69  0.38 i
HD 37792    26688 20.61 0.89 6556 100 0.190 0.006  7.641  7.697 0.419 0.249 0.268 6.83 0.02 6.68 0.03 6.57 0.02 -0.60  0.23 k
HD 39715    27918 37.57 1.26 4759  37 0.253 0.004  8.410  8.830 1.010 0.605 0.495 6.99 0.03 6.47 0.04 6.35 0.02 -0.04  0.01 b
HD 51219    33382 31.15 0.85 5584  58 0.306 0.007  7.303  7.410 0.699 0.377 0.357 6.15 0.02 5.83 0.03 5.72 0.02 -0.09  0.04 l
HD 53545    34146 15.74 0.91 6393  55 0.169 0.003  8.005  8.047 0.456 0.268 0.271 7.16 0.03 6.90 0.03 6.86 0.02 -0.29  0.11 i
HD 53927    34414 44.92 1.43 4882  35 0.288 0.005  8.018  8.351 0.889 0.529 0.450 6.64 0.02 6.14 0.02 6.06 0.03 -0.37  0.09 h
HD 57901    35872 39.91 1.14 4865  48 0.311 0.007  7.867  8.224 0.962 0.564 0.452 6.46 0.03 5.98 0.03 5.89 0.02  0.00  0.03 f
HD 59374    36491 20.00 1.66 5839  58 0.171 0.004  8.373  8.485 0.541 0.324 0.326 7.33 0.02 7.03 0.02 6.98 0.03 -0.88  0.29 i
HD 59468    36210 44.43 0.53 5625  57 0.411 0.009  6.630  6.720 0.700 0.377 0.355 5.51 0.03 5.15 0.02 5.04 0.02  0.02  0.00 b
HD 59747    36704 50.80 1.29 5063  54 0.349 0.008  7.443  7.695 0.877 0.493 0.416 6.09 0.02 5.66 0.02 5.59 0.02  0.06 -0.04 b
HD 65486    38939 54.91 1.15 4678  29 0.326 0.005  7.934  8.400 1.050 0.605 0.530 6.51 0.02 5.94 0.02 5.83 0.02 -0.24  0.07 e
HD 67199    39342 57.88 0.58 5148  44 0.425 0.008  6.943  7.166 0.889 0.480 0.416 5.65 0.02 5.23 0.03 5.11 0.02  0.03 -0.04 b
HD 73524    42291 36.40 0.57 5978  60 0.389 0.009  6.486  6.530 0.600 0.330 0.310 5.46 0.02 5.21 0.03 5.10 0.03  0.12 -0.00 b
HD 85512    48331 89.67 0.82 4429 134 0.557 0.034  7.008  7.670 1.190 0.720 0.622 5.45 0.02 5.00 0.03 4.72 0.02 -0.18  0.06 d
HD 87007    49161 23.23 1.41 5260  44 0.187 0.004  8.632  8.802 0.821 0.445 0.391 7.35 0.02 6.97 0.03 6.89 0.04  0.27  0.00 j
HD 89813    50782 37.30 1.31 5372  51 0.286 0.006  7.618  7.769 0.784 0.423 0.383 6.40 0.03 6.03 0.04 5.91 0.02 -0.17  0.06 f
HD 90663    51254 39.75 1.54 4936  43 0.258 0.005  8.209  8.530 0.920 0.541 0.439 6.85 0.02 6.39 0.02 6.26 0.02 -0.29  0.08 f
HD 92786    52470 39.56 0.99 5301  69 0.265 0.007  7.841  8.020 0.750 0.427 0.385 6.57 0.02 6.23 0.02 6.13 0.02 -0.29  0.08 f
