,Name,HIP,Plx,e_Plx,Teff,e_Teff,Diam,e_Diam,mbol,Vmag,B-V,V-Rc,R-Ic,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,[Fe/H],[alpha/Fe],r_[alpha/Fe]
0,HD 120467,67487,70.49,1.01,4406,46,0.458,0.01,7.456,8.17,1.27,0.755,0.64,5.92,0.02,5.32,0.02,5.16,0.02,0.24,0.17,m
1,HD 85512,48331,89.67,0.82,4429,134,0.557,0.034,7.008,7.67,1.19,0.72,0.622,5.45,0.02,5.0,0.03,4.72,0.02,-0.18,0.06,d
2,HD 200779,104092,67.38,1.35,4430,66,0.427,0.013,7.584,8.27,1.22,0.74,0.625,6.04,0.02,5.49,0.03,5.31,0.02,0.06,0.23,m
3,HD 142709,78170,68.18,1.02,4526,52,0.425,0.011,7.502,8.06,1.12,0.67,0.565,6.03,0.02,5.45,0.05,5.28,0.02,-0.17,0.06,d
4,HD 214749,111960,73.85,1.13,4548,81,0.471,0.017,7.257,7.81,1.13,0.685,0.565,5.77,0.02,5.26,0.04,5.04,0.02,0.12,0.01,e
5,HD 21197,15919,66.15,0.95,4577,60,0.453,0.013,7.314,7.868,1.162,0.684,0.565,5.83,0.02,5.31,0.03,5.12,0.02,0.27,0.13,j
6,HD 105671,59296,49.72,1.0,4604,53,0.339,0.008,7.918,8.44,1.135,0.66,0.545,6.44,0.02,5.91,0.04,5.76,0.02,0.2,0.0,e
7,HD 190007,98698,76.26,1.03,4637,51,0.523,0.012,6.946,7.46,1.14,0.67,0.535,5.48,0.02,4.96,0.03,4.8,0.02,0.15,0.15,m
8,HD 10853,8275,43.37,1.38,4638,78,0.267,0.009,8.405,8.91,1.04,0.625,0.537,6.93,0.02,6.44,0.03,6.32,0.02,-0.74,0.21,f
9,HD 108564,60853,35.3,1.2,4660,44,0.203,0.004,8.98,9.45,0.964,0.597,0.535,7.55,0.02,6.99,0.03,6.9,0.02,-1.18,0.4,n
10,HD 127506,70950,45.46,1.03,4662,92,0.286,0.012,8.234,8.702,1.029,0.624,0.501,6.76,0.02,6.31,0.04,6.14,0.02,-0.4,0.11,f
11,HD 170493,90656,53.3,1.05,4671,98,0.387,0.017,7.569,8.036,1.106,0.631,0.505,6.07,0.02,5.64,0.05,5.48,0.02,0.15,0.0,d
12,HD 65486,38939,54.91,1.15,4678,29,0.326,0.005,7.934,8.4,1.05,0.605,0.53,6.51,0.02,5.94,0.02,5.83,0.02,-0.24,0.07,e
13,HD 213042,110996,64.74,1.07,4721,58,0.447,0.012,7.209,7.64,1.1,0.626,0.502,5.77,0.02,5.28,0.05,5.11,0.02,0.19,0.14,j
14,HD 11373,8867,45.16,1.09,4738,58,0.301,0.008,8.052,8.483,1.02,0.607,0.489,6.61,0.02,6.11,0.04,6.02,0.02,-0.45,0.12,f
15,HD 202575,105038,61.83,1.06,4741,35,0.392,0.007,7.475,7.897,1.02,0.602,0.499,6.07,0.02,5.53,0.02,5.39,0.02,0.04,0.01,b
16,HD 147776,80366,46.44,1.2,4751,48,0.301,0.007,8.04,8.42,0.97,0.538,0.482,6.62,0.02,6.11,0.05,6.0,0.02,-0.29,0.1,b
17,HD 39715,27918,37.57,1.26,4759,37,0.253,0.004,8.41,8.83,1.01,0.605,0.495,6.99,0.03,6.47,0.04,6.35,0.02,-0.04,0.01,b
18,BD-11 4126,80295,20.67,2.17,4788,36,0.121,0.002,9.986,10.383,1.023,0.585,0.482,8.58,0.03,8.06,0.03,7.95,0.03,0.2,-0.01,q
19,HD 144872,78913,42.57,0.86,4792,64,0.277,0.008,8.183,8.58,0.963,0.568,0.47,6.76,0.03,6.29,0.02,6.16,0.02,-0.64,0.18,f
20,HD 130992,72688,58.96,1.05,4796,48,0.395,0.009,7.409,7.804,1.014,0.583,0.486,5.99,0.02,5.49,0.02,5.39,0.03,-0.06,0.04,d
21,HD 25329,18915,54.14,1.08,4796,62,0.279,0.008,8.164,8.519,0.876,0.495,0.478,6.77,0.03,6.3,0.04,6.2,0.01,-1.8,0.49,i
22,HD 202751,105152,52.03,1.23,4809,35,0.333,0.006,7.768,8.16,0.99,0.58,0.495,6.37,0.02,5.85,0.03,5.74,0.02,-0.1,0.08,b
23,HD 263175,32423,40.02,1.22,4818,46,0.246,0.005,8.417,8.81,0.96,0.57,0.49,7.02,0.02,6.52,0.03,6.42,0.02,-0.59,0.16,f
24,HD 130871,72577,32.53,1.56,4845,42,0.213,0.004,8.706,9.073,0.972,0.553,0.477,7.31,0.02,6.8,0.03,6.72,0.02,-0.16,0.06,b
25,HD 57901,35872,39.91,1.14,4865,48,0.311,0.007,7.867,8.224,0.962,0.564,0.452,6.46,0.03,5.98,0.03,5.89,0.02,0.0,0.03,f
26,HD 215152,112190,46.46,1.31,4870,59,0.327,0.009,7.753,8.096,0.961,0.551,0.455,6.35,0.02,5.89,0.03,5.78,0.03,-0.17,0.06,f
27,HD 154577,83990,73.07,0.91,4882,38,0.447,0.008,7.064,7.395,0.89,0.515,0.465,5.69,0.02,5.2,0.02,5.09,0.02,-0.63,0.17,d
28,HD 53927,34414,44.92,1.43,4882,35,0.288,0.005,8.018,8.351,0.889,0.529,0.45,6.64,0.02,6.14,0.02,6.06,0.03,-0.37,0.09,h
29,HD 134440,74234,33.68,1.67,4883,41,0.175,0.003,9.099,9.42,0.869,0.497,0.478,7.76,0.03,7.28,0.04,7.15,0.02,-1.45,0.19,i
30,BD+09 2879,70152,15.13,1.87,4887,35,0.103,0.002,10.246,10.6,0.988,0.566,0.471,8.86,0.02,8.37,0.02,8.27,0.02,-0.05,0.04,o
