      Star      Teff     eTeff    Radius   eRadius       FeH
     HD4614      5973         8   1.03860   0.00380     -0.28
     HD5015      5965        35   1.74260   0.02330      0.04
    HD16895      6153        25   1.31900   0.01090      0.00
    HD20630      5723        76   0.91930   0.02470      0.05
    HD22484      5998        39   1.62190   0.02420     -0.09
    HD34411      5774        44   1.33140   0.02110      0.05
    HD39587      5898        25   0.97910   0.00910     -0.04
    HD48737      6478        21   2.70980   0.02060      0.14
    HD56537      7932        62   2.77730   0.04690      0.00
    HD58946      6738        55   1.65530   0.02750     -0.25
    HD81937      6651        27   2.90180   0.02620      0.17
    HD82328      6238        10   2.36530   0.00820     -0.16
    HD82885      5376        43   1.00290   0.01580      0.32
    HD86728      5619        44   1.24660   0.02050      0.19
    HD90839      6203        56   1.09120   0.02000     -0.11
    HD95418      9193        56   3.02100   0.03830     -0.03
   HD101501      5309        27   0.94000   0.01000     -0.03
   HD102870      6054        13   1.68070   0.00790      0.12
   HD114710      5957        29   1.10560   0.01090      0.02
   HD118098      8097        43   2.07910   0.02480     -0.26
   HD128167      6435        50   1.43070   0.02280     -0.32
   HD131156      5483        32   0.86270   0.01070     -0.14
   HD141795      7928        88   1.78340   0.04030      0.38
   HD162003      5928        81   2.32890   0.06710     -0.03
   HD164259      6454       113   1.96140   0.07130     -0.03
   HD173667      6296        19   2.06440   0.01660     -0.03
   HD177724      9078        86   2.44870   0.04640     -0.52
   HD182572      5643        84   1.37850   0.04180      0.34
   HD210418      7872        82   2.62250   0.08290     -0.38
   HD213558      9050       157   2.14320   0.07370      0.00
   HD215648      6090        22   1.91170   0.01600     -0.26
   HD222368      6192        26   1.59490   0.01370     -0.14
      HD166      5327        39   0.91720   0.00900      0.08
     HD6210      6089        35   4.51700   0.15220     -0.01
    HD16765      6356        46   1.20800   0.02880     -0.15
    HD38858      5646        45   0.93310   0.01620     -0.22
    HD69897      6130        58   1.38700   0.02760     -0.26
   HD130948      5787        57   1.11190   0.02290     -0.05
   HD140538      5692        74   0.94100   0.02540      0.05
   HD158633      5203        46   0.78910   0.01440     -0.41
   HD168151      6221        39   1.75770   0.02250     -0.28
   HD186408      5760        57   1.25510   0.02610      0.05
   HD186427      5678        66   1.16890   0.02740      0.04
   HD206860      5860        83   1.01890   0.02910     -0.16
   HD219623      6285        94   1.19500   0.03590      0.04
    HD75732      5172        18   0.94340   0.01010      0.35
   HD190406      5763        49   1.11530   0.02110      0.03
   HD218396      7163        84   1.44000   0.06000      0.00
    HD49933      6635        90   1.42000   0.04000     -0.39
   HD210027      6324       139   1.52600   0.06800     -0.13
     HD3651      5046        86   0.94700   0.03200      0.15
    HD19994      5916        98   1.93000   0.06700      0.17
   HD117176      5406        64   1.96800   0.04700     -0.06
   HD120136      6620        67   1.33100   0.02700      0.24
   HD190360      5461        75   1.20000   0.03300      0.21
   HD216956      8459        44   1.84510   0.02020      0.20
   HD102647      8421        79   1.71340   0.03340      0.07
   HD161797      5502        55   1.74480   0.03490      0.23
   HD128620      5793         7   1.23290   0.00370      0.20
   HD188512      4920       102   3.21030   0.13280     -0.14
    HD10700      5290        39   0.81540   0.01220     -0.48
    HD23249      4955        30   2.32670   0.02860      0.12
   HD198149      4835        37   4.06380   0.06170     -0.11
    HD21019      5261        65   2.42140   0.07640     -0.41
   HD136202      5661        87   2.14270   0.06700     -0.04
   HD157214      5738        48   1.11590   0.01910     -0.37
   HD195564      5421       118   1.86730   0.08330      0.06
   HD222603      7734        80   2.04030   0.04510      0.00
    HD19373      5832        33   1.41480   0.01490      0.08
    HD30652      6441        19   1.32230   0.01030      0.00
    HD97603      7889        60   2.54710   0.05100     -0.18
   HD109358      5700        95   1.09990   0.04150     -0.19
   HD126660      6211        19   1.73360   0.01120     -0.02
   HD142860      6222        13   1.47150   0.00820     -0.17
   	HD48915      9711        23   1.70740   0.01240      0.36
    HD61421      6582        16   2.04680   0.01020     -0.02
   HD121370      6012        45   2.74750   0.04310      0.25
   HD150680      5656        63   2.76200   0.06130      0.02
   HD128621      5232         8   0.86710   0.00290      0.21
   HD173701      5297        53   0.95200   0.02100      0.24
   HD175726      6067        67   0.98700   0.02300     -0.09
   HD177153      5909        69   1.28900   0.03700     -0.06
   HD181420      6283       106   1.73000   0.08400     -0.03
   HD182736      5239        37   2.70300   0.07100     -0.06
   HD187637      6155        85   1.30600   0.04700     -0.09
   HD103095      4791        28   0.67840   0.00550     -1.26
     HD9826      6104        75   1.65370   0.03240      0.08
   HD217014      5706        95   1.16780   0.04160      0.17
    HD10476      5242        12   0.81010   0.00450     -0.02
    HD10697      5442        65   1.91550   0.05210      0.12
    HD11964      5013        62   2.14250   0.06870      0.14
   HD217107      5391        40   1.21040   0.01950      0.31
       GJ33      4950        14   0.69540   0.00410     -0.22
      GJ105      4662        17   0.79490   0.00620     -0.08
      GJ205      3801         9   0.57350   0.00440      0.35
     GJ338A      3907        35   0.57730   0.01310     -0.18
     GJ338B      3867        37   0.56730   0.01370     -0.15
      GJ412      3497        39   0.39820   0.00910     -0.40
      GJ526      3618        31   0.48400   0.00840     -0.30
      GJ631      5337        41   0.75910   0.01220      0.04
      GJ687      3413        28   0.41830   0.00700     -0.09
     GJ702A      5407        52   0.83100   0.00440      0.03
     GJ702B      4393       149   0.66970   0.00890      0.03
     GJ725A      3407        15   0.35610   0.00390     -0.49
     GJ725B      3104        28   0.32320   0.00610     -0.36
      GJ809      3692        22   0.54720   0.00670     -0.21
      GJ880      3713        11   0.54770   0.00480      0.06
      GJ892      4699        16   0.77840   0.00530      0.07
       GJ53      5348        26   0.79100   0.00800     -0.68
       GJ75      5398        75   0.81900   0.02400      0.03
