,lib_index,cps_name,lib_obs,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age,vsini,source,source_name,Plx,u_Plx,Plx_source,snr
1,,5133,rj158.105,4921.3,25.0,0.73,0.03,4.5504,0.028,-0.0549,0.01,0.78,0.05,9.49,0.48,1.66,Brewer,HD 5133,71.70999908447266,0.30000001192092896,Gaia,157.04215240478516
4,,37008,rj63.1056,4979.8,25.0,0.69,0.01,4.5283,0.028,-0.4247,0.01,0.68,0.01,10.13,0.1,0.55,Brewer,HD 37008,48.720001220703125,1.0,Hipparcos,166.11537170410156
5,,61606,rj85.340,4917.7,25.0,0.78,0.02,4.5327,0.028,0.0878,0.01,0.79,0.03,10.0,0.36,1.59,Brewer,HD 61606,71.06999969482422,0.38999998569488525,Gaia,157.45284271240234
6,,87424,rj166.94,5016.9,25.0,0.76,0.02,4.5617,0.028,-0.0465,0.01,0.8,0.03,9.78,0.47,3.39,Brewer,HD 87424,43.220001220703125,0.2199999988079071,Gaia,157.0594024658203
7,,87883,rj72.77,4941.6,25.0,0.8,0.02,4.5054,0.028,0.1283,0.01,0.8,0.02,10.09,0.17,1.3,Brewer,HD 87883,55.279998779296875,0.23999999463558197,Gaia,157.0943832397461
8,,112914,rj189.2175,4815.9,25.0,0.7,0.01,4.5115,0.028,-0.2626,0.01,0.69,0.01,10.14,0.09,0.46,Brewer,HD 112914,41.36000061035156,1.4800000190734863,Hipparcos,157.9647979736328
9,,128311,rj72.442,4917.9,25.0,0.81,0.02,4.494,0.028,0.1883,0.01,0.8,0.02,10.1,0.15,3.56,Brewer,HD 128311,60.349998474121094,0.9900000095367432,Hipparcos,157.1696319580078
10,,130307,rj189.1878,4985.0,25.0,0.74,0.03,4.5592,0.028,-0.1284,0.01,0.79,0.05,9.51,0.49,1.55,Brewer,HD 130307,50.84000015258789,1.0399999618530273,Hipparcos,157.56975555419922
11,,170657,rj123.315,5040.8,25.0,0.77,0.03,4.5363,0.028,-0.1254,0.01,0.77,0.02,10.01,0.29,1.41,Brewer,HD 170657,76.2300033569336,0.2800000011920929,Gaia,154.15613555908203
12,,202575,rj193.303,4729.6,25.0,0.7,0.03,4.5018,0.028,-0.0173,0.01,0.75,0.04,9.46,0.48,3.33,Brewer,HD 202575,61.790000915527344,0.2199999988079071,Gaia,159.9565200805664
13,,208313,rj63.384,5016.2,25.0,0.8,0.03,4.5124,0.028,0.0192,0.01,0.8,0.02,10.06,0.23,1.18,Brewer,HD 208313,48.810001373291016,0.23999999463558197,Gaia,167.87741088867188
14,,220339,rj61.702,4953.7,25.0,0.72,0.04,4.5609,0.028,-0.237,0.01,0.77,0.06,9.57,0.51,1.37,Brewer,HD 220339,52.38999938964844,0.2800000011920929,Gaia,167.84156799316406
17,,35112,rj187.404,4894.6,25.0,0.77,0.01,4.4582,0.028,-0.0786,0.01,0.75,0.01,10.15,0.06,2.2,Brewer,HD 35112,50.2400016784668,1.5199999809265137,Hipparcos,157.38358306884766
18,,53927,rj187.388,4898.8,25.0,0.69,0.04,4.5587,0.028,-0.2877,0.01,0.73,0.05,9.56,0.52,0.1,Brewer,HD 53927,43.40999984741211,0.25,Gaia,157.08374786376953
19,,96612,rj189.1673,4861.5,25.0,0.74,0.02,4.5315,0.028,-0.1098,0.01,0.74,0.02,10.09,0.18,1.38,Brewer,HD 96612,43.869998931884766,0.23999999463558197,Gaia,157.18488311767578
20,,110463,rj189.2174,4906.1,25.0,0.77,0.02,4.5504,0.028,0.0586,0.01,0.79,0.03,9.91,0.47,2.12,Brewer,HD 110463,44.06999969482422,0.25999999046325684,Gaia,157.8046875
21,,110833,rj189.2172,4999.3,25.0,0.82,0.03,4.5097,0.028,0.1793,0.01,0.82,0.02,10.03,0.25,1.54,Brewer,HD 110833,66.4000015258789,0.7799999713897705,Hipparcos,157.2461700439453
22,,131582,rj189.2471,4728.4,25.0,0.67,0.01,4.5215,0.028,-0.3286,0.01,0.66,0.01,10.14,0.1,0.1,Brewer,HD 131582,40.869998931884766,0.28999999165534973,Gaia,160.65985107421875
23,,144872,rj189.2183,4780.8,25.0,0.66,0.04,4.5244,0.028,-0.2543,0.01,0.69,0.05,9.74,0.53,1.16,Brewer,HD 144872,43.150001525878906,0.27000001072883606,Gaia,157.8442153930664
24,,153525,rj189.2184,4826.5,25.0,0.76,0.02,4.5368,0.028,0.0248,0.01,0.76,0.02,10.04,0.32,2.48,Brewer,HD 153525,55.689998626708984,0.20999999344348907,Gaia,158.80590057373047
29,,189733,rj13.2079,5023.5,25.0,0.81,0.03,4.5083,0.028,0.0697,0.01,0.8,0.02,10.05,0.21,3.44,Brewer,HD 189733,50.400001525878906,0.2199999988079071,Gaia,176.5614471435547
30,,196124,rj55.1871,4832.9,25.0,0.75,0.02,4.5038,0.028,-0.0614,0.01,0.74,0.01,10.12,0.12,0.24,Brewer,HD 196124,33.31999969482422,0.23000000417232513,Gaia,168.2107696533203
