,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age
1,True,True,False,False,True,True,True,True,False,False,False,False
4,True,True,False,False,True,True,True,True,False,False,False,False
5,True,True,False,False,True,True,True,True,False,False,False,False
6,True,True,False,False,True,True,True,True,False,False,False,False
7,True,True,False,False,True,True,True,True,False,False,False,False
8,True,True,False,False,True,True,True,True,False,False,False,False
9,True,True,False,False,True,True,True,True,False,False,False,False
10,True,True,False,False,True,True,True,True,False,False,False,False
11,True,True,False,False,True,True,True,True,False,False,False,False
12,True,True,False,False,True,True,True,True,False,False,False,False
13,True,True,False,False,True,True,True,True,False,False,False,False
14,True,True,False,False,True,True,True,True,False,False,False,False
17,True,True,False,False,True,True,True,True,False,False,False,False
18,True,True,False,False,True,True,True,True,False,False,False,False
19,True,True,False,False,True,True,True,True,False,False,False,False
20,True,True,False,False,True,True,True,True,False,False,False,False
21,True,True,False,False,True,True,True,True,False,False,False,False
22,True,True,False,False,True,True,True,True,False,False,False,False
23,True,True,False,False,True,True,True,True,False,False,False,False
24,True,True,False,False,True,True,True,True,False,False,False,False
29,True,True,False,False,True,True,True,True,False,False,False,False
30,True,True,False,False,True,True,True,True,False,False,False,False
