,lib_index,cps_name,lib_obs,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age,vsini,source,source_name,snr
852,,64413,rj65.146,4906.4,25.0,,,2.6953,0.028,-0.1535,0.01,,,,,3.34,Brewer,HD 64413,154.87848663330078
767,,26007,rj62.205,4777.5,25.0,,,2.8087,0.028,-0.1324,0.01,,,,,0.06,Brewer,HD 26007,154.83346557617188
689,,9625,rj62.165,4945.6,25.0,,,2.8944,0.028,0.1609,0.01,,,,,2.23,Brewer,HD 9625,154.7323760986328
989,,123239,rj72.718,4794.9,25.0,,,2.9403,0.028,-0.0487,0.01,,,,,0.1,Brewer,HD 123239,155.8234100341797
374,,3458,rj62.152,5100.7,25.0,,,2.9531,0.028,0.1242,0.01,,,,,3.51,Brewer,HD 3458,153.24983978271484
1005,,130048,rj130.1674,4964.4,25.0,,,3.0182,0.028,0.27699999999999997,0.01,,,,,2.64,Brewer,HD 130048,156.90245056152344
773,,26634,rj62.206,4902.4,25.0,,,3.0301,0.028,-0.1379,0.01,,,,,1.8,Brewer,HD 26634,153.6018829345703
675,,8407,rj62.163,4922.8,25.0,,,3.0477,0.028,-0.1246,0.01,,,,,1.92,Brewer,HD 8407,153.78206634521484
681,,8594,rj130.2537,4799.8,25.0,,,3.0664,0.028,0.145,0.01,,,,,1.62,Brewer,HD 8594,157.10325622558594
955,,108863,rj72.738,4878.5,25.0,,,3.0746,0.028,0.2024,0.01,,,,,1.94,Brewer,HD 108863,156.29398345947266
975,,114659,rj72.741,4837.7,25.0,,,3.0823,0.028,0.1752,0.01,,,,,1.32,Brewer,HD 114659,155.94788360595703
740,,18742,rj62.193,4941.0,25.0,,,3.0924,0.028,-0.0195,0.01,,,,,2.03,Brewer,HD 18742,153.9312744140625
1047,,152733,rj72.146,4834.8,25.0,,,3.0993,0.028,0.1582,0.01,,,,,1.5,Brewer,HD 152733,156.1744842529297
757,,22657,rj62.200,4792.2,25.0,,,3.1127,0.028,0.0712,0.01,,,,,1.13,Brewer,HD 22657,155.71639251708984
723,,15336,rj62.177,5025.1,25.0,,,3.1229,0.028,-0.1576,0.01,,,,,3.14,Brewer,HD 15336,151.9260482788086
1014,,238433,rj76.1672,4936.5,25.0,,,3.1322,0.028,-0.0043,0.01,,,,,2.12,Brewer,HD 238433,154.87600708007812
1267,,210373,rj156.1777,4876.2,25.0,,,3.1475,0.028,0.2104,0.01,,,,,1.94,Brewer,HD 210373,156.69506072998047
