name,SpT,Fbol,e_Fbol,Plx,e_Plx,Vmag,e_Vmag,Kmag,e_Kmag,fe,hipnum,Plx_source,V-K,e_V-K,teff_derived,e_teff_derived,ang_diam,e_ang_diam,radius,e_radius
GJ1008.0,k8v,6.57e-09,6.470000000000001e-11,49.279998779296875,0.38999998569488525,9.92,0.0354,6.58,0.0283,-0.37,HIP   1532,Gaia,3.34,0.04532162839086874,4038.6225832,241.01066158983923,0.2723447283762841,0.023062705827481943,0.5943490481192352,0.05503434206479155
GJ1044,k7iv-v,6.790000000000001e-09,6.55e-11,42.619998931884766,0.8500000238418579,9.86,0.0354,6.54,0.0283,0.12,HIP  10337,Gaia,3.3199999999999994,0.04532162839086874,4050.8993344,239.2944244575205,0.27519137138821037,0.02306608154618517,0.6944079185635289,0.07205316888860365
GJ1127,k5iv-v,8.640000000000002e-09,8.609999999999999e-11,44.4900016784668,0.25,9.45,0.0289,6.37,0.03,0.03,HIP  47201,Gaia,3.079999999999999,0.04165585192983094,4206.5346496,212.2688665555294,0.2878795117581985,0.02064402949648298,0.6958916443809732,0.053813230610969244
GJ1172,k9v,7.090000000000001e-09,7.570000000000001e-11,48.779998779296875,1.6200000047683716,9.95,0.0354,6.38,0.0318,-0.11,HIP  66222,Hipparcos,3.5699999999999994,0.04758571214135605,3904.2082118999997,266.4887429693214,0.3027331667056751,0.02931198098951163,0.6674388853622054,0.08679028966417504
GJ3072,k8iv-v,6.22e-09,6.4e-11,46.709999084472656,0.4000000059604645,10.03,0.0354,6.57,0.0566,-0.19,HIP   4845,Gaia,3.459999999999999,0.06675866984894172,3966.9981688000007,301.0673127572604,0.27464646891409783,0.0295451500236374,0.6323498903138177,0.0734402824695138
GJ3494,k6iv-v,6.790000000000001e-09,7.28e-11,44.349998474121094,0.27000001072883606,9.76,0.0354,6.61,0.03,-0.06,HIP  40910,Gaia,3.1499999999999995,0.046402155122364744,4159.4837625,227.57695145719302,0.2610110225043452,0.020292587485225114,0.6329341451596326,0.05306142093386792
GJ9093,k4.5iv-v,7.4e-09,6.940000000000001e-11,41.88999938964844,0.28999999165534973,9.52,0.025,6.54,0.025,-0.29,HIP  12493,Gaia,2.9799999999999995,0.03535533905932738,4276.300933600001,192.50970002818838,0.25779955735925925,0.0165015547402637,0.6618584225671326,0.04694703235568292
GJ9144,k5v,6.37e-09,5.81e-11,38.65999984741211,0.2199999988079071,9.69,0.0289,6.74,0.0283,-0.22,HIP  19165,Gaia,2.9499999999999993,0.04044873298386489,4297.840712499999,200.05015966488088,0.23679466445936448,0.015662100329572375,0.6587237941119122,0.04731794360020343
HD178126,k3.5iv-v,8.72e-09,5.3e-11,40.84000015258789,0.25999999046325684,9.22,0.0224,6.47,0.0283,-0.47,HIP  93871,Gaia,2.750000000000001,0.03609224293390478,4449.114062499999,177.4588844094752,0.2585318119220525,0.014625479500213914,0.68080312648881,0.0428481166750745
HD200779,k6v,2.4700000000000003e-08,1.25e-10,66.55999755859375,0.25,8.3,0.0204,5.33,0.04,0.07,HIP 104092,Gaia,2.9700000000000006,0.04490167034754944,4283.448885899999,210.69238883203238,0.4694227424074923,0.0326970282131909,0.7584799685258015,0.05567979004569316
HD20280,k6v,1.14e-08,6.97e-11,53.970001220703125,0.27000001072883606,9.16,0.0224,6.11,0.0283,-0.21,HIP  15095,Gaia,3.05,0.03609224293390478,4227.142787499999,199.2180565174056,0.3274623823549095,0.0218710656072793,0.65253269351275,0.04684684297428264
HD203040,k7iv-v,1.38e-08,9.809999999999999e-11,63.220001220703125,0.5299999713897705,9.1,0.0354,5.75,0.0283,-0.05,HIP 105341,Gaia,3.3499999999999996,0.04532162839086874,4032.5216125000006,241.87428735781106,0.39590315545813626,0.03364171591186877,0.6734847246720129,0.0628752081691861
