idx,lib_index,cps_name,lib_obs,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age,vsini,source,source_name,snr
0,0,1326B,rj124.340,3218.0,60.0,0.1923,0.0082,5.071866704256541,0.9429226180815448,-0.3,0.08,0.159,0.016,9.62,0.53,,Mann,Gl 15B,152.60276794433594
1,1,HIP1734,rj15.517,3600.0,60.0,0.528,0.028,4.73431190219721,0.9746959580858634,0.27,0.08,0.551,0.055,9.65,0.53,,Mann,GJ 1009,98.97002410888672
2,2,HIP5643,rj222.76,3056.0,60.0,0.168,0.0085,5.101752937268161,1.026424102855142,-0.26,0.08,0.13,0.013,9.63,0.53,,Mann,Gl 54.1,109.04293060302734
3,3,HIP8051,rj82.722,3458.0,60.0,0.414,0.017,4.807571838791434,0.8743830285425842,-0.13,0.08,0.401,0.04,9.7,0.52,,Mann,Gl 70,148.07696533203125
4,4,GL83.1,rj222.304,3080.0,60.0,0.187,0.01,5.053107427435301,1.0317136302747805,-0.16,0.08,0.14400000000000002,0.014,9.63,0.53,,Mann,Gl 83.1,87.27951049804688
5,5,GL87,rj61.724,3638.0,62.0,0.443,0.017,4.789073372453098,0.8464660159437417,-0.36,0.08,0.44,0.044,9.69,0.52,,Mann,Gl 87,147.1223602294922
6,6,HIP11048,rj64.154,3785.0,62.0,0.599,0.021,4.671742874775594,0.7916987545913615,0.14,0.08,0.614,0.061,9.8,0.51,,Mann,Gl 96,162.25198364257812
7,7,GL105B,rj15.1926,3284.0,60.0,0.278,0.01,4.941273663680276,0.8576492716249177,-0.12,0.03,0.246,0.025,9.74,0.52,,Mann,Gl 105 B,103.87654495239258
8,8,GL109,rj78.491,3405.0,60.0,0.364,0.014,4.851519501157708,0.8541024463800855,-0.1,0.08,0.343,0.034,9.68,0.52,,Mann,Gl 109,150.12228393554688
9,9,HIP15366,rj165.57,3700.0,61.0,0.628,0.031,4.6480097190970575,0.9244083003925724,0.53,0.08,0.639,0.064,9.73,0.52,,Mann,Gl 134,164.15786743164062
10,10,28343,rj131.943,4124.0,62.0,0.687,0.023,4.636087609839827,0.7715384096903231,0.39,0.08,0.7440000000000001,0.07400000000000001,9.78,0.51,,Mann,Gl 169,165.0245132446289
