SPOCSNUM,NAME,SNR,LRMS,CRMS,VSINI,TEFF,LOGG,MONH,FEH
2,HD 105,247,0.0139,0.0155,14.65,6033.8,4.5304,0.0436,0.1047
4,HD 166,357,0.0124,0.0072,4.10,5489.2,4.5138,0.0662,0.1198
6,HD 377,248,0.0163,0.0107,14.65,5895.7,4.4602,0.1212,0.1956
10,HD 691,258,0.0151,0.0087,5.55,5489.1,4.4813,0.1767,0.2390
12,HD 1388,250,0.0104,0.0086,2.27,5924.8,4.3229,0.0251,0.0291
13,HD 1461,317,0.0089,0.0072,1.81,5739.0,4.3447,0.1648,0.1602
22,HD 2589,393,0.0114,0.0081,0.64,5062.9,3.6547,-0.0203,-0.0324
30,HD 3795,250,0.0126,0.0076,1.85,5379.5,4.1123,-0.4933,-0.5377
33,HD 3861,293,0.0121,0.0072,0.10,6219.0,4.2897,0.1344,0.1650
34,HD 4208,246,0.0087,0.0068,0.10,5639.5,4.5026,-0.2607,-0.2904
36,HD 4203,254,0.0109,0.0089,2.92,5582.2,4.0792,0.3386,0.3489
39,HD 4307,301,0.0108,0.0075,2.53,5795.9,4.0461,-0.1812,-0.1801
40,HD 4628,296,0.0168,0.0098,0.69,4937.5,4.5398,-0.2118,-0.2451
41,HD 4614,263,0.0104,0.0075,0.46,5920.0,4.3664,-0.2044,-0.2180
42,HD 4747,369,0.0101,0.0074,2.07,5305.0,4.5567,-0.2253,-0.2310
43,HD 4915,274,0.0093,0.0075,1.42,5668.3,4.5596,-0.1966,-0.2075
46,HD 5133,269,0.0178,0.0121,1.66,4921.3,4.5504,-0.0817,-0.0549
50,HD 6558,241,0.0123,0.0091,5.29,6042.5,4.1786,0.2802,0.3013
54,HD 6872 B,117,0.0167,0.0133,5.08,6216.9,4.3275,-0.1014,-0.0774
56,HD 6963,250,0.0101,0.0076,2.34,5496.4,4.5573,-0.1929,-0.1647
62,HIP 5938,254,0.0109,0.0080,4.21,5432.4,4.5208,0.0138,0.0684
65,HD 8038,256,0.0094,0.0077,0.63,5667.2,4.4527,0.1407,0.1632
66,HIP 6276,254,0.0171,0.0079,4.74,5314.5,4.4661,-0.0400,0.0286
67,HD 7924,277,0.0138,0.0085,0.16,5136.3,4.5507,-0.1398,-0.1481
71,HD 8574,240,0.0105,0.0070,3.48,6031.6,4.2067,0.0302,0.0366
74,HD 8765,255,0.0125,0.0082,2.52,5632.4,4.3838,0.1561,0.1800
76,HD 8907,249,0.0125,0.0098,12.86,6271.8,4.3611,0.0531,0.1164
81,HD 9540,261,0.0104,0.0077,0.75,5417.2,4.5435,-0.0657,-0.0388
82,HD 9472,245,0.0102,0.0082,2.29,5751.3,4.5323,-0.0412,-0.0131
83,HD 9562,257,0.0119,0.0082,4.21,5837.4,4.0166,0.2073,0.2254
84,HD 9407,241,0.0101,0.0078,0.21,5672.4,4.4455,0.0135,0.0053
87,HD 9986,303,0.0102,0.0083,1.10,5787.4,4.4220,0.0670,0.0757
93,HD 10145,249,0.0097,0.0072,1.34,5650.1,4.4279,-0.0295,-0.0393
95,HD 10476,386,0.0151,0.0090,0.10,5190.4,4.5075,-0.0205,-0.0160
96,HD 10700,303,0.0116,0.0072,0.10,5333.1,4.6032,-0.4304,-0.5240
97,HD 10697,252,0.0100,0.0079,1.45,5600.0,3.9623,0.1041,0.1269
