,cps_name,obs,Teff,u_Teff,radius,u_radius,FeH,u_FeH,mass,u_mass,Source,chi-squared,params
0,,rj187.477,3458,60,0.414,0.017,-0.13,0.08,0.401,0.04,Mann,220.41349173232874,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.974014243363739, true, null, -Infinity, Infinity, 0.007507338701457556, {""knot_3_y"": 0.21160337761613268, ""knot_4_y"": -0.005283456449286899, ""knot_1_y"": -0.30790988319471974, ""knot_2_y"": -0.06083215625171261}, 0.9803547966248599], [""knot_1_x"", 6016.543004845413, false, null, -Infinity, Infinity, 0, null, 6016.543004845413], [""knot_1_y"", 0.9669678986120731, true, null, -Infinity, Infinity, 0.0032558765919019554, {""knot_3_y"": -0.24391097792759833, ""knot_4_y"": -0.03163285555780031, ""knot_2_y"": 0.2975958684048803, ""knot_0_y"": -0.30790988319471907}, 0.3915272660553521], [""knot_2_x"", 6033.125858149306, false, null, -Infinity, Infinity, 0, null, 6033.125858149306], [""knot_2_y"", 0.9774884020052093, true, null, -Infinity, Infinity, 0.0023962520411648053, {""knot_3_y"": 0.7067810372018493, ""knot_4_y"": -0.05389974306528664, ""knot_1_y"": 0.29759586840487773, ""knot_0_y"": -0.06083215625171117}, 0.9834687775318516], [""knot_3_x"", 6049.75441727188, false, null, -Infinity, Infinity, 0, null, 6049.75441727188], [""knot_3_y"", 0.9800696453773005, true, null, -Infinity, Infinity, 0.0023170212957710156, {""knot_2_y"": 0.7067810372018472, ""knot_4_y"": 0.4693358770026013, ""knot_1_y"": -0.2439109779276, ""knot_0_y"": 0.21160337761613296}, 0.9835197947704049], [""knot_4_x"", 6066.42880818796, false, null, -Infinity, Infinity, 0, null, 6066.42880818796], [""knot_4_y"", 0.9751739181587005, true, null, -Infinity, Infinity, 0.002351325964817717, {""knot_2_y"": -0.053899743065288004, ""knot_3_y"": 0.46933587700259927, ""knot_1_y"": -0.03163285555779874, ""knot_0_y"": -0.005283456449287519}, 0.978945605953025]]"
1,,rj97.2604,3900,60,0.62,0.021,0.14,0.08,0.654,0.065,Mann,221.81013281406712,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.8074440524920122, true, null, -Infinity, Infinity, 0.008594904175193175, {""knot_3_y"": 0.21134745058915766, ""knot_4_y"": -0.007268266016236608, ""knot_1_y"": -0.3007635794957909, ""knot_2_y"": -0.06330981134136687}, 0.8496818021536461], [""knot_1_x"", 6016.543004845413, false, null, -Infinity, Infinity, 0, null, 6016.543004845413], [""knot_1_y"", 0.8795914866928433, true, null, -Infinity, Infinity, 0.0036206848428753384, {""knot_3_y"": -0.2466871354654709, ""knot_4_y"": -0.028507086934694306, ""knot_2_y"": 0.2974300633560136, ""knot_0_y"": -0.300763579495792}, 0.7419251030660126], [""knot_2_x"", 6033.125858149306, false, null, -Infinity, Infinity, 0, null, 6033.125858149306], [""knot_2_y"", 0.890553270558557, true, null, -Infinity, Infinity, 0.002646637480855077, {""knot_3_y"": 0.7033148397329815, ""knot_4_y"": -0.05979377531510163, ""knot_1_y"": 0.29743006335601935, ""knot_0_y"": -0.06330981134136875}, 0.8529815027863576], [""knot_3_x"", 6049.75441727188, false, null, -Infinity, Infinity, 0, null, 6049.75441727188], [""knot_3_y"", 0.8793212904496059, true, null, -Infinity, Infinity, 0.0025577916764548134, {""knot_2_y"": 0.7033148397329876, ""knot_4_y"": 0.4650001182821662, ""knot_1_y"": -0.24668713546546356, ""knot_0_y"": 0.21134745058915674}, 0.9213186030732564], [""knot_4_x"", 6066.42880818796, false, null, -Infinity, Infinity, 0, null, 6066.42880818796], [""knot_4_y"", 0.8685983675239933, true, null, -Infinity, Infinity, 0.0026162968144665287, {""knot_2_y"": -0.059793775315094874, ""knot_3_y"": 0.46500011828217, ""knot_1_y"": -0.028507086934689882, ""knot_0_y"": -0.007268266016236994}, 0.822456514447152]]"
2,,rj222.304,3080,60,0.187,0.01,-0.16,0.08,0.14400000000000002,0.013999999999999999,Mann,83.52836363432122,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.7879768019252669, true, null, -Infinity, Infinity, 0.010199925440615366, {""knot_3_y"": 0.20843220906370274, ""knot_4_y"": -0.010241353022115833, ""knot_1_y"": -0.28613170434315, ""knot_2_y"": -0.08188347845332986}, 0.791281069558778], [""knot_1_x"", 6016.543004845413, false, null, -Infinity, Infinity, 0, null, 6016.543004845413], [""knot_1_y"", 0.8833535264723865, true, null, -Infinity, Infinity, 0.004129646762797788, {""knot_3_y"": -0.2522648208362919, ""knot_4_y"": -0.02290476039184098, ""knot_2_y"": 0.3178873087803265, ""knot_0_y"": -0.28613170434315066}, 0.789987422831962], [""knot_2_x"", 6033.125858149306, false, null, -Infinity, Infinity, 0, null, 6033.125858149306], [""knot_2_y"", 0.8775901577775747, true, null, -Infinity, Infinity, 0.0028856261176800394, {""knot_3_y"": 0.6880988099593727, ""knot_4_y"": -0.07520030889180017, ""knot_1_y"": 0.317887308780324, ""knot_0_y"": -0.0818834784533297}, 0.8128522397726908], [""knot_3_x"", 6049.75441727188, false, null, -Infinity, Infinity, 0, null, 6049.75441727188], [""knot_3_y"", 0.8537374924033099, true, null, -Infinity, Infinity, 0.002743452916802758, {""knot_2_y"": 0.6880988099593719, ""knot_4_y"": 0.44700892928170993, ""knot_1_y"": -0.25226482083629487, ""knot_0_y"": 0.2084322090637031}, 0.8532271405884284], [""knot_4_x"", 6066.42880818796, false, null, -Infinity, Infinity, 0, null, 6066.42880818796], [""knot_4_y"", 0.8407083243160121, true, null, -Infinity, Infinity, 0.0028058055972523567, {""knot_2_y"": -0.07520030889179952, ""knot_3_y"": 0.44700892928171154, ""knot_1_y"": -0.022904760391842423, ""knot_0_y"": -0.010241353022113677}, 0.741563286618172]]"
3,,rj190.1206,3638,62,0.44299999999999995,0.017,-0.36,0.08,0.44,0.044000000000000004,Mann,139.71617304653586,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.9247774925151658, true, null, -Infinity, Infinity, 0.00623094386059474, {""knot_3_y"": 0.2118705358196574, ""knot_4_y"": -0.006322543061299897, ""knot_1_y"": -0.3063126383622146, ""knot_2_y"": -0.060254056095690525}, 0.9136135194585421], [""knot_1_x"", 6016.543004845413, false, null, -Infinity, Infinity, 0, null, 6016.543004845413], [""knot_1_y"", 0.9513671142577751, true, null, -Infinity, Infinity, 0.0026759453610214323, {""knot_3_y"": -0.2448247530528467, ""knot_4_y"": -0.03025289464893308, ""knot_2_y"": 0.2956424000364698, ""knot_0_y"": -0.30631263836221373}, 0.603303247385211], [""knot_2_x"", 6033.125858149306, false, null, -Infinity, Infinity, 0, null, 6033.125858149306], [""knot_2_y"", 0.9617829396572193, true, null, -Infinity, Infinity, 0.0019703301977153243, {""knot_3_y"": 0.7058571366947507, ""knot_4_y"": -0.05613085036088413, ""knot_1_y"": 0.29564240003647335, ""knot_0_y"": -0.06025405609569532}, 0.9555100260467854], [""knot_3_x"", 6049.75441727188, false, null, -Infinity, Infinity, 0, null, 6049.75441727188], [""knot_3_y"", 0.9598625209049286, true, null, -Infinity, Infinity, 0.0019073175509656272, {""knot_2_y"": 0.7058571366947505, ""knot_4_y"": 0.468834600758292, ""knot_1_y"": -0.2448247530528437, ""knot_0_y"": 0.21187053581965257}, 0.956769625002353], [""knot_4_x"", 6066.42880818796, false, null, -Infinity, Infinity, 0, null, 6066.42880818796], [""knot_4_y"", 0.9535745285180338, true, null, -Infinity, Infinity, 0.001945742963483502, {""knot_2_y"": -0.05613085036088825, ""knot_3_y"": 0.46883460075828803, ""knot_1_y"": -0.03025289464893291, ""knot_0_y"": -0.006322543061301949}, 0.9458133588972388]]"
4,,rj15.1926,3284,60,0.278,0.01,-0.12,0.03,0.24600000000000002,0.025,Mann,115.98268109950472,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.8094768234026466, true, null, -Infinity, Infinity, 0.009827260767681324, {""knot_3_y"": 0.20790591893672283, ""knot_4_y"": -0.0046973219670401285, ""knot_1_y"": -0.2868690095346067, ""knot_2_y"": -0.0794490804385687}, 0.843983348672067], [""knot_1_x"", 6016.420490366793, false, null, -Infinity, Infinity, 0, null, 6016.420490366793], [""knot_1_y"", 0.8940032911310514, true, null, -Infinity, Infinity, 0.004033286476638481, {""knot_3_y"": -0.2510388810036973, ""knot_4_y"": -0.030574703527520338, ""knot_2_y"": 0.31629420947938325, ""knot_0_y"": -0.28686900953460553}, 0.9494801301522323], [""knot_2_x"", 6032.880156342545, false, null, -Infinity, Infinity, 0, null, 6032.880156342545], [""knot_2_y"", 0.8800281508036172, true, null, -Infinity, Infinity, 0.002844514110382478, {""knot_3_y"": 0.6923876221546182, ""knot_4_y"": -0.06143175146921755, ""knot_1_y"": 0.31629420947937914, ""knot_0_y"": -0.07944908043856803}, 0.8132415124666645], [""knot_3_x"", 6049.384852515976, false, null, -Infinity, Infinity, 0, null, 6049.384852515976], [""knot_3_y"", 0.8552726307301651, true, null, -Infinity, Infinity, 0.0027334252027356497, {""knot_2_y"": 0.6923876221546147, ""knot_4_y"": 0.45975599945065204, ""knot_1_y"": -0.25103888100370264, ""knot_0_y"": 0.207905918936724}, 0.7097836044092894], [""knot_4_x"", 6065.934702080283, false, null, -Infinity, Infinity, 0, null, 6065.934702080283], [""knot_4_y"", 0.8463298179718507, true, null, -Infinity, Infinity, 0.0027894100668810445, {""knot_2_y"": -0.06143175146922065, ""knot_3_y"": 0.4597559994506509, ""knot_1_y"": -0.03057470352752346, ""knot_0_y"": -0.0046973219670393435}, 0.784513426159304]]"
5,,rj222.82,3405,60,0.364,0.013999999999999999,-0.1,0.08,0.34299999999999997,0.034,Mann,82.36673293149474,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.8331278741649338, true, null, -Infinity, Infinity, 0.009169304347722645, {""knot_3_y"": 0.20800679240201123, ""knot_4_y"": -0.005900895079512283, ""knot_1_y"": -0.2851148395585456, ""knot_2_y"": -0.08265210158787994}, 1.0139918573994782], [""knot_1_x"", 6016.420490366793, false, null, -Infinity, Infinity, 0, null, 6016.420490366793], [""knot_1_y"", 0.8804995540514335, true, null, -Infinity, Infinity, 0.0037607434543680835, {""knot_3_y"": -0.2542740826054463, ""knot_4_y"": -0.02868495774104355, ""knot_2_y"": 0.31986962460303453, ""knot_0_y"": -0.2851148395585465}, 0.9839536320470186], [""knot_2_x"", 6032.880156342545, false, null, -Infinity, Infinity, 0, null, 6032.880156342545], [""knot_2_y"", 0.8872223321815695, true, null, -Infinity, Infinity, 0.0026170453111525236, {""knot_3_y"": 0.6874606530813364, ""knot_4_y"": -0.06557792733652208, ""knot_1_y"": 0.3198696246030322, ""knot_0_y"": -0.08265210158788257}, 0.8460571227386414], [""knot_3_x"", 6049.384852515976, false, null, -Infinity, Infinity, 0, null, 6049.384852515976], [""knot_3_y"", 0.8774848705924826, true, null, -Infinity, Infinity, 0.002509566808511371, {""knot_2_y"": 0.6874606530813321, ""knot_4_y"": 0.45639332180140946, ""knot_1_y"": -0.254274082605448, ""knot_0_y"": 0.20800679240200873}, 0.7276893457167041], [""knot_4_x"", 6065.934702080283, false, null, -Infinity, Infinity, 0, null, 6065.934702080283], [""knot_4_y"", 0.8684503336960634, true, null, -Infinity, Infinity, 0.0025695610834952053, {""knot_2_y"": -0.06557792733652902, ""knot_3_y"": 0.45639332180140285, ""knot_1_y"": -0.028684957741043002, ""knot_0_y"": -0.005900895079514076}, 0.8255462825768473]]"
6,232979.0,rj149.101,3929,60,0.608,0.02,-0.11,0.08,0.6509999999999999,0.065,Mann,217.10366504398723,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.9462352281235826, true, null, -Infinity, Infinity, 0.007431558983625713, {""knot_3_y"": 0.211921204539512, ""knot_4_y"": 0.0002399367083678807, ""knot_1_y"": -0.3088018823559506, ""knot_2_y"": -0.06369375978500295}, 0.960052568740085], [""knot_1_x"", 6016.440909273314, false, null, -Infinity, Infinity, 0, null, 6016.440909273314], [""knot_1_y"", 0.9576176074863116, true, null, -Infinity, Infinity, 0.0032216476430909683, {""knot_3_y"": -0.2427799898832667, ""knot_4_y"": -0.03860705883152693, ""knot_2_y"": 0.3022217873769516, ""knot_0_y"": -0.30880188235595174}, 0.9796531727460592], [""knot_2_x"", 6032.921105948776, false, null, -Infinity, Infinity, 0, null, 6032.921105948776], [""knot_2_y"", 0.9677679329059227, true, null, -Infinity, Infinity, 0.0023749084566912653, {""knot_3_y"": 0.709233523778615, ""knot_4_y"": -0.04175075173468978, ""knot_1_y"": 0.30222178737695066, ""knot_0_y"": -0.06369375978500229}, 0.9585855164793309], [""knot_3_x"", 6049.446445074161, false, null, -Infinity, Infinity, 0, null, 6049.446445074161], [""knot_3_y"", 0.9672358237161021, true, null, -Infinity, Infinity, 0.0023104043724098025, {""knot_2_y"": 0.7092335237786125, ""knot_4_y"": 0.47694182053049794, ""knot_1_y"": -0.2427799898832676, ""knot_0_y"": 0.21192120453951496}, 0.9615157198714109], [""knot_4_x"", 6066.017050303375, false, null, -Infinity, Infinity, 0, null, 6066.017050303375], [""knot_4_y"", 0.961947172373978, true, null, -Infinity, Infinity, 0.0023323651494532287, {""knot_2_y"": -0.04175075173469359, ""knot_3_y"": 0.4769418205304947, ""knot_1_y"": -0.03860705883152695, ""knot_0_y"": 0.0002399367083685521}, 0.9459169455245166]]"
7,,rj216.111,3680,60,0.452,0.019,0.14,0.08,0.49200000000000005,0.049,Mann,24.134986183034282,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.8253733381115345, true, null, -Infinity, Infinity, 0.008084781540461368, {""knot_3_y"": 0.20926482023535015, ""knot_4_y"": -0.01440089164207899, ""knot_1_y"": -0.2876286693663103, ""knot_2_y"": -0.0770517820364523}, 0.8495205159258109], [""knot_1_x"", 6016.543004845413, false, null, -Infinity, Infinity, 0, null, 6016.543004845413], [""knot_1_y"", 0.8944133780043726, true, null, -Infinity, Infinity, 0.003296725166942909, {""knot_3_y"": -0.2557242501971354, ""knot_4_y"": -0.017835638562558452, ""knot_2_y"": 0.3104939823783317, ""knot_0_y"": -0.2876286693663104}, 0.7851779052002403], [""knot_2_x"", 6033.125858149306, false, null, -Infinity, Infinity, 0, null, 6033.125858149306], [""knot_2_y"", 0.9084495645382125, true, null, -Infinity, Infinity, 0.002300108593288029, {""knot_3_y"": 0.6833466807046928, ""knot_4_y"": -0.08293488798561965, ""knot_1_y"": 0.31049398237832276, ""knot_0_y"": -0.07705178203644861}, 0.8900901183519838], [""knot_3_x"", 6049.75441727188, false, null, -Infinity, Infinity, 0, null, 6049.75441727188], [""knot_3_y"", 0.9007596500696868, true, null, -Infinity, Infinity, 0.0021969675875913863, {""knot_2_y"": 0.6833466807046891, ""knot_4_y"": 0.4487720923497801, ""knot_1_y"": -0.25572425019714257, ""knot_0_y"": 0.20926482023535334}, 0.8870417159895079], [""knot_4_x"", 6066.42880818796, false, null, -Infinity, Infinity, 0, null, 6066.42880818796], [""knot_4_y"", 0.8897712083638746, true, null, -Infinity, Infinity, 0.002294574483543589, {""knot_2_y"": -0.08293488798561756, ""knot_3_y"": 0.4487720923497814, ""knot_1_y"": -0.01783563856255718, ""knot_0_y"": -0.014400891642078235}, 0.8554007193537364]]"
8,245409.0,rj222.308,3966,60,0.601,0.02,0.05,0.08,0.6459999999999999,0.065,Mann,208.31360871463107,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.9355976824800758, true, null, -Infinity, Infinity, 0.007163722192367916, {""knot_3_y"": 0.2123459532772832, ""knot_4_y"": -0.0032700815037699895, ""knot_1_y"": -0.30836035462840916, ""knot_2_y"": -0.061448096590354155}, 0.6479179182764647], [""knot_1_x"", 6016.502166408676, false, null, -Infinity, Infinity, 0, null, 6016.502166408676], [""knot_1_y"", 0.9488360738819696, true, null, -Infinity, Infinity, 0.0030996886313820527, {""knot_3_y"": -0.2445042861605094, ""knot_4_y"": -0.034166823160518056, ""knot_2_y"": 0.2982917461907107, ""knot_0_y"": -0.30836035462840916}, 0.9582888434176347], [""knot_2_x"", 6033.043956435212, false, null, -Infinity, Infinity, 0, null, 6033.043956435212], [""knot_2_y"", 0.9669366982107505, true, null, -Infinity, Infinity, 0.002281485971368278, {""knot_3_y"": 0.7073756271924109, ""knot_4_y"": -0.04918297672368361, ""knot_1_y"": 0.2982917461907119, ""knot_0_y"": -0.06144809659035471}, 0.9959289026081112], [""knot_3_x"", 6049.631226511404, false, null, -Infinity, Infinity, 0, null, 6049.631226511404], [""knot_3_y"", 0.9659032780308133, true, null, -Infinity, Infinity, 0.0022140024979225435, {""knot_2_y"": 0.7073756271924121, ""knot_4_y"": 0.47281607058479197, ""knot_1_y"": -0.24450428616050784, ""knot_0_y"": 0.21234595327728306}, 0.9691530504910988], [""knot_4_x"", 6066.264101680243, false, null, -Infinity, Infinity, 0, null, 6066.264101680243], [""knot_4_y"", 0.9541055208980874, true, null, -Infinity, Infinity, 0.0022455272993080247, {""knot_2_y"": -0.049182976723682915, ""knot_3_y"": 0.47281607058479225, ""knot_1_y"": -0.034166823160517286, ""knot_0_y"": -0.003270081503770948}, 0.9346718080799095]]"
9,,rj63.474,3801,60,0.423,0.015,-0.34,0.08,0.47100000000000003,0.047,Mann,192.69478556069905,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.9421551490638403, true, null, -Infinity, Infinity, 0.007077745093415268, {""knot_3_y"": 0.2119955750265443, ""knot_4_y"": -0.0008346970642005683, ""knot_1_y"": -0.3062484365308647, ""knot_2_y"": -0.06070187706563307}, 0.9417585468278005], [""knot_1_x"", 6016.420490366793, false, null, -Infinity, Infinity, 0, null, 6016.420490366793], [""knot_1_y"", 0.9656329468614433, true, null, -Infinity, Infinity, 0.0030393928999972136, {""knot_3_y"": -0.24324076592294136, ""knot_4_y"": -0.037157067677051306, ""knot_2_y"": 0.29710068732518113, ""knot_0_y"": -0.30624843653086437}, 0.6656226052622699], [""knot_2_x"", 6032.880156342545, false, null, -Infinity, Infinity, 0, null, 6032.880156342545], [""knot_2_y"", 0.9518475964992763, true, null, -Infinity, Infinity, 0.002254245206872955, {""knot_3_y"": 0.710315187363806, ""knot_4_y"": -0.04293530617854482, ""knot_1_y"": 0.29710068732517925, ""knot_0_y"": -0.06070187706563159}, 0.9419358698985133], [""knot_3_x"", 6049.384852515976, false, null, -Infinity, Infinity, 0, null, 6049.384852515976], [""knot_3_y"", 0.9456294328783563, true, null, -Infinity, Infinity, 0.0021984672132912895, {""knot_2_y"": 0.7103151873638069, ""knot_4_y"": 0.47690889597178704, ""knot_1_y"": -0.24324076592294216, ""knot_0_y"": 0.21199557502654504}, 0.9878239536489004], [""knot_4_x"", 6065.934702080283, false, null, -Infinity, Infinity, 0, null, 6065.934702080283], [""knot_4_y"", 0.9501511379337041, true, null, -Infinity, Infinity, 0.002228943325100753, {""knot_2_y"": -0.04293530617854106, ""knot_3_y"": 0.4769088959717896, ""knot_1_y"": -0.03715706767704979, ""knot_0_y"": -0.0008346970642004473}, 0.38581150792572466]]"
