,cps_name,obs,Teff,u_Teff,radius,u_radius,FeH,u_FeH,mass,u_mass,Source,chi-squared,params
0,,rj187.477,3458,60,0.414,0.017,-0.13,0.08,0.401,0.04,Mann,142.69648901301383,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.9767094333499329, true, null, -Infinity, Infinity, 0.006056629783707822, {""vsini"": -0.008039761794250973, ""knot_1_y"": -0.3094992954225287, ""knot_3_y"": 0.21177540157368557, ""knot_2_y"": -0.062408517620744494, ""knot_4_y"": -0.0052519874180654395}, 0.9803547966248599], [""knot_1_x"", 6016.543004845413, false, null, -Infinity, Infinity, 0, null, 6016.543004845413], [""knot_1_y"", 0.9749670947392397, true, null, -Infinity, Infinity, 0.002635266468004456, {""vsini"": 0.037678760526284785, ""knot_2_y"": 0.30010694373488356, ""knot_3_y"": -0.24392457679315124, ""knot_0_y"": -0.3094992954225286, ""knot_4_y"": -0.031708456569325985}, 0.3915272660553521], [""knot_2_x"", 6033.125858149306, false, null, -Infinity, Infinity, 0, null, 6033.125858149306], [""knot_2_y"", 0.9796796770742939, true, null, -Infinity, Infinity, 0.0019322256944203817, {""vsini"": 0.022335147731311913, ""knot_1_y"": 0.3001069437348827, ""knot_3_y"": 0.7054004527258848, ""knot_0_y"": -0.06240851762074205, ""knot_4_y"": -0.05454075994506414}, 0.9834687775318516], [""knot_3_x"", 6049.75441727188, false, null, -Infinity, Infinity, 0, null, 6049.75441727188], [""knot_3_y"", 0.9808667710228686, true, null, -Infinity, Infinity, 0.00186630001896114, {""vsini"": 0.0015227805005887042, ""knot_2_y"": 0.7054004527258839, ""knot_1_y"": -0.2439245767931519, ""knot_0_y"": 0.2117754015736866, ""knot_4_y"": 0.4690154303558648}, 0.9835197947704049], [""knot_4_x"", 6066.42880818796, false, null, -Infinity, Infinity, 0, null, 6066.42880818796], [""knot_4_y"", 0.9783032889070735, true, null, -Infinity, Infinity, 0.0018946421471550828, {""vsini"": 3.8983649558643936e-05, ""knot_2_y"": -0.054540759945064056, ""knot_1_y"": -0.03170845656932597, ""knot_3_y"": 0.4690154303558649, ""knot_0_y"": -0.00525198741806563}, 0.978945605953025], [""vsini"", 23.286640278487756, true, null, 0.0, Infinity, 0.773999704381619, {""knot_2_y"": 0.02233514773131194, ""knot_1_y"": 0.037678760526284764, ""knot_3_y"": 0.0015227805005887482, ""knot_0_y"": -0.008039761794250939, ""knot_4_y"": 3.898364955865043e-05}, 10.0]]"
1,,rj97.2604,3900,60,0.62,0.021,0.14,0.08,0.654,0.065,Mann,155.03474174321548,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.8091346460205721, true, null, -Infinity, Infinity, 0.007250906525836021, {""vsini"": -0.002364468142328384, ""knot_1_y"": -0.30786212804121776, ""knot_3_y"": 0.21442672823116132, ""knot_2_y"": -0.06516033306196993, ""knot_4_y"": -0.007864869703397255}, 0.8496818021536461], [""knot_1_x"", 6016.543004845413, false, null, -Infinity, Infinity, 0, null, 6016.543004845413], [""knot_1_y"", 0.8898230216716444, true, null, -Infinity, Infinity, 0.0030583274153529825, {""vsini"": 0.011603731336047291, ""knot_2_y"": 0.29813613681950524, ""knot_3_y"": -0.25010068925943846, ""knot_0_y"": -0.30786212804121804, ""knot_4_y"": -0.027731523691545926}, 0.7419251030660126], [""knot_2_x"", 6033.125858149306, false, null, -Infinity, Infinity, 0, null, 6033.125858149306], [""knot_2_y"", 0.8939590043577071, true, null, -Infinity, Infinity, 0.0022199667677065583, {""vsini"": 0.008669139413500414, ""knot_1_y"": 0.2981361368195052, ""knot_3_y"": 0.7006629618431328, ""knot_0_y"": -0.06516033306197036, ""knot_4_y"": -0.06222510399696067}, 0.8529815027863576], [""knot_3_x"", 6049.75441727188, false, null, -Infinity, Infinity, 0, null, 6049.75441727188], [""knot_3_y"", 0.8802977755471334, true, null, -Infinity, Infinity, 0.002144633477859665, {""vsini"": 0.0035099383169100644, ""knot_2_y"": 0.7006629618431327, ""knot_1_y"": -0.25010068925943874, ""knot_0_y"": 0.21442672823116068, ""knot_4_y"": 0.46302084465637505}, 0.9213186030732564], [""knot_4_x"", 6066.42880818796, false, null, -Infinity, Infinity, 0, null, 6066.42880818796], [""knot_4_y"", 0.871579454796365, true, null, -Infinity, Infinity, 0.002195039635046581, {""vsini"": 0.003513001652984566, ""knot_2_y"": -0.062225103996960705, ""knot_1_y"": -0.02773152369154606, ""knot_3_y"": 0.46302084465637516, ""knot_0_y"": -0.00786486970339614}, 0.822456514447152], [""vsini"", 71.12347880967614, true, null, 0.0, Infinity, 4.084767454357854, {""knot_2_y"": 0.008669139413500417, ""knot_1_y"": 0.011603731336047291, ""knot_3_y"": 0.0035099383169100674, ""knot_0_y"": -0.0023644681423283967, ""knot_4_y"": 0.003513001652984566}, 10.0]]"
2,,rj222.304,3080,60,0.187,0.01,-0.16,0.08,0.14400000000000002,0.013999999999999999,Mann,60.97194862798479,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.787544382680542, true, null, -Infinity, Infinity, 0.0088144941867082, {""vsini"": -0.009190333677321205, ""knot_1_y"": -0.2953662251069559, ""knot_3_y"": 0.21260112064336634, ""knot_2_y"": -0.08416199840855855, ""knot_4_y"": -0.011125263248167198}, 0.791281069558778], [""knot_1_x"", 6016.543004845413, false, null, -Infinity, Infinity, 0, null, 6016.543004845413], [""knot_1_y"", 0.8946426945989983, true, null, -Infinity, Infinity, 0.0035689993535675825, {""vsini"": 0.013613087670010442, ""knot_2_y"": 0.31807960686097403, ""knot_3_y"": -0.2568805232959859, ""knot_0_y"": -0.295366225106957, ""knot_4_y"": -0.021735032483646055}, 0.789987422831962], [""knot_2_x"", 6033.125858149306, false, null, -Infinity, Infinity, 0, null, 6033.125858149306], [""knot_2_y"", 0.8815187274147663, true, null, -Infinity, Infinity, 0.0024749494191616045, {""vsini"": 0.01039888029060708, ""knot_1_y"": 0.31807960686097436, ""knot_3_y"": 0.6848678746237084, ""knot_0_y"": -0.08416199840855865, ""knot_4_y"": -0.07827095804823742}, 0.8128522397726908], [""knot_3_x"", 6049.75441727188, false, null, -Infinity, Infinity, 0, null, 6049.75441727188], [""knot_3_y"", 0.8546493822642306, true, null, -Infinity, Infinity, 0.0023523239278252363, {""vsini"": 0.0015072044108443256, ""knot_2_y"": 0.6848678746237086, ""knot_1_y"": -0.25688052329598554, ""knot_0_y"": 0.2126011206433663, ""knot_4_y"": 0.44418719003108675}, 0.8532271405884284], [""knot_4_x"", 6066.42880818796, false, null, -Infinity, Infinity, 0, null, 6066.42880818796], [""knot_4_y"", 0.84353387008512, true, null, -Infinity, Infinity, 0.002406838928699407, {""vsini"": 0.0006095342634939978, ""knot_2_y"": -0.07827095804823743, ""knot_1_y"": -0.021735032483646062, ""knot_3_y"": 0.44418719003108675, ""knot_0_y"": -0.011125263248167474}, 0.741563286618172], [""vsini"", 93.17541947453896, true, null, 0.0, Infinity, 14.84247699085015, {""knot_2_y"": 0.010398880290607074, ""knot_1_y"": 0.013613087670010442, ""knot_3_y"": 0.0015072044108443235, ""knot_0_y"": -0.009190333677321217, ""knot_4_y"": 0.0006095342634939962}, 10.0]]"
3,,rj190.1206,3638,62,0.44299999999999995,0.017,-0.36,0.08,0.44,0.044000000000000004,Mann,88.65203898974785,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.9257988486751613, true, null, -Infinity, Infinity, 0.004979433090513472, {""vsini"": -0.004952899491934961, ""knot_1_y"": -0.3072402026108864, ""knot_3_y"": 0.21192989887239205, ""knot_2_y"": -0.06180787224402614, ""knot_4_y"": -0.006254754472946181}, 0.9136135194585421], [""knot_1_x"", 6016.543004845413, false, null, -Infinity, Infinity, 0, null, 6016.543004845413], [""knot_1_y"", 0.958362500229081, true, null, -Infinity, Infinity, 0.0021454704924443817, {""vsini"": 0.03301712486464853, ""knot_2_y"": 0.2979692153622485, ""knot_3_y"": -0.24516078259102714, ""knot_0_y"": -0.30724020261088625, ""knot_4_y"": -0.03019945031085449}, 0.603303247385211], [""knot_2_x"", 6033.125858149306, false, null, -Infinity, Infinity, 0, null, 6033.125858149306], [""knot_2_y"", 0.9639072123689094, true, null, -Infinity, Infinity, 0.0015726125855666105, {""vsini"": 0.017203384347713922, ""knot_1_y"": 0.29796921536224896, ""knot_3_y"": 0.7043772308486999, ""knot_0_y"": -0.06180787224402772, ""knot_4_y"": -0.056571058742214436}, 0.9555100260467854], [""knot_3_x"", 6049.75441727188, false, null, -Infinity, Infinity, 0, null, 6049.75441727188], [""knot_3_y"", 0.9607750579688127, true, null, -Infinity, Infinity, 0.001521040590616784, {""vsini"": 0.0023058802222457805, ""knot_2_y"": 0.7043772308487, ""knot_1_y"": -0.24516078259102675, ""knot_0_y"": 0.21192989887239147, ""knot_4_y"": 0.4686270191607148}, 0.956769625002353], [""knot_4_x"", 6066.42880818796, false, null, -Infinity, Infinity, 0, null, 6066.42880818796], [""knot_4_y"", 0.9565610103735315, true, null, -Infinity, Infinity, 0.001552175904300182, {""vsini"": 0.0053276313052485254, ""knot_2_y"": -0.056571058742214075, ""knot_1_y"": -0.0301994503108542, ""knot_3_y"": 0.4686270191607149, ""knot_0_y"": -0.006254754472947139}, 0.9458133588972388], [""vsini"", 22.387698505753487, true, null, 0.0, Infinity, 0.6308691246236758, {""knot_2_y"": 0.017203384347713915, ""knot_1_y"": 0.03301712486464853, ""knot_3_y"": 0.00230588022224577, ""knot_0_y"": -0.004952899491934994, ""knot_4_y"": 0.00532763130524852}, 10.0]]"
4,,rj15.1926,3284,60,0.278,0.01,-0.12,0.03,0.24600000000000002,0.025,Mann,82.1472481864323,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.808242931765864, true, null, -Infinity, Infinity, 0.008388925941602714, {""vsini"": -0.007302251241396532, ""knot_1_y"": -0.29835056818466543, ""knot_3_y"": 0.21326241402129084, ""knot_2_y"": -0.08188259648243164, ""knot_4_y"": -0.005763706855855039}, 0.843983348672067], [""knot_1_x"", 6016.420490366793, false, null, -Infinity, Infinity, 0, null, 6016.420490366793], [""knot_1_y"", 0.9054003802471793, true, null, -Infinity, Infinity, 0.0034384814892819424, {""vsini"": 0.0012046971176528992, ""knot_2_y"": 0.3159215019426026, ""knot_3_y"": -0.25674478322796523, ""knot_0_y"": -0.29835056818466493, ""knot_4_y"": -0.02910176520230759}, 0.9494801301522323], [""knot_2_x"", 6032.880156342545, false, null, -Infinity, Infinity, 0, null, 6032.880156342545], [""knot_2_y"", 0.883862069296513, true, null, -Infinity, Infinity, 0.002404347135858282, {""vsini"": 0.001846449993026496, ""knot_1_y"": 0.31592150194260255, ""knot_3_y"": 0.6886770346271005, ""knot_0_y"": -0.08188259648243147, ""knot_4_y"": -0.0655256391603988}, 0.8132415124666645], [""knot_3_x"", 6049.384852515976, false, null, -Infinity, Infinity, 0, null, 6049.384852515976], [""knot_3_y"", 0.8561198575897961, true, null, -Infinity, Infinity, 0.0023098974813950345, {""vsini"": -0.0022677152777724895, ""knot_2_y"": 0.6886770346271006, ""knot_1_y"": -0.25674478322796523, ""knot_0_y"": 0.21326241402128995, ""knot_4_y"": 0.45613622978377955}, 0.7097836044092894], [""knot_4_x"", 6065.934702080283, false, null, -Infinity, Infinity, 0, null, 6065.934702080283], [""knot_4_y"", 0.8494112713468948, true, null, -Infinity, Infinity, 0.00235868693894064, {""vsini"": -0.00408745583265986, ""knot_2_y"": -0.06552563916039883, ""knot_1_y"": -0.029101765202307638, ""knot_3_y"": 0.45613622978377955, ""knot_0_y"": -0.005763706855854711}, 0.784513426159304], [""vsini"", 6307.824749833144, true, null, 0.0, Infinity, 4481236.400119324, {""knot_2_y"": 0.0018464499930264963, ""knot_1_y"": 0.0012046971176529054, ""knot_3_y"": -0.0022677152777724886, ""knot_0_y"": -0.007302251241396533, ""knot_4_y"": -0.00408745583265986}, 10.0]]"
5,,rj222.82,3405,60,0.364,0.013999999999999999,-0.1,0.08,0.34299999999999997,0.034,Mann,55.62387436033665,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.8323945677030651, true, null, -Infinity, Infinity, 0.007633944322823479, {""vsini"": -0.004067974556475369, ""knot_1_y"": -0.2955465123057246, ""knot_3_y"": 0.21281150797696002, ""knot_2_y"": -0.08506822801857265, ""knot_4_y"": -0.006860405971149781}, 1.0139918573994782], [""knot_1_x"", 6016.420490366793, false, null, -Infinity, Infinity, 0, null, 6016.420490366793], [""knot_1_y"", 0.8917171798316776, true, null, -Infinity, Infinity, 0.003128197136397459, {""vsini"": 0.00348164471318244, ""knot_2_y"": 0.31984747563348265, ""knot_3_y"": -0.2593831783514872, ""knot_0_y"": -0.29554651230572454, ""knot_4_y"": -0.0274041390108112}, 0.9839536320470186], [""knot_2_x"", 6032.880156342545, false, null, -Infinity, Infinity, 0, null, 6032.880156342545], [""knot_2_y"", 0.8909962905116433, true, null, -Infinity, Infinity, 0.00215957368138517, {""vsini"": 0.005830649599249598, ""knot_1_y"": 0.31984747563348304, ""knot_3_y"": 0.6839039109100208, ""knot_0_y"": -0.08506822801857354, ""knot_4_y"": -0.06914672356803407}, 0.8460571227386414], [""knot_3_x"", 6049.384852515976, false, null, -Infinity, Infinity, 0, null, 6049.384852515976], [""knot_3_y"", 0.8783680884261876, true, null, -Infinity, Infinity, 0.002070417890743606, {""vsini"": 0.0034269317805770564, ""knot_2_y"": 0.6839039109100212, ""knot_1_y"": -0.25938317835148655, ""knot_0_y"": 0.21281150797695908, ""knot_4_y"": 0.4532944744513597}, 0.7276893457167041], [""knot_4_x"", 6065.934702080283, false, null, -Infinity, Infinity, 0, null, 6065.934702080283], [""knot_4_y"", 0.8715347740433949, true, null, -Infinity, Infinity, 0.002121315993079947, {""vsini"": 0.0016356758124853623, ""knot_2_y"": -0.06914672356803399, ""knot_1_y"": -0.027404139010810985, ""knot_3_y"": 0.4532944744513597, ""knot_0_y"": -0.006860405971150212}, 0.8255462825768473], [""vsini"", 117.98965112393931, true, null, 0.0, Infinity, 32.973278451628005, {""knot_2_y"": 0.0058306495992495955, ""knot_1_y"": 0.0034816447131824422, ""knot_3_y"": 0.003426931780577049, ""knot_0_y"": -0.004067974556475377, ""knot_4_y"": 0.0016356758124853614}, 10.0]]"
6,232979.0,rj149.101,3929,60,0.608,0.02,-0.11,0.08,0.6509999999999999,0.065,Mann,112.97960857546673,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.9450885204150773, true, null, -Infinity, Infinity, 0.005380915919678159, {""vsini"": -0.0025163930885996337, ""knot_1_y"": -0.3101029420219405, ""knot_3_y"": 0.21229001231156452, ""knot_2_y"": -0.064789373827489, ""knot_4_y"": 0.00020806438842722785}, 0.960052568740085], [""knot_1_x"", 6016.440909273314, false, null, -Infinity, Infinity, 0, null, 6016.440909273314], [""knot_1_y"", 0.9695058398193273, true, null, -Infinity, Infinity, 0.0023356129696702997, {""vsini"": 0.01917159196128411, ""knot_2_y"": 0.30345029780400334, ""knot_3_y"": -0.24338400397495588, ""knot_0_y"": -0.3101029420219402, ""knot_4_y"": -0.03841216387211279}, 0.9796531727460592], [""knot_2_x"", 6032.921105948776, false, null, -Infinity, Infinity, 0, null, 6032.921105948776], [""knot_2_y"", 0.9714836459673389, true, null, -Infinity, Infinity, 0.0017162110498751312, {""vsini"": 0.010537176934339575, ""knot_1_y"": 0.30345029780400307, ""knot_3_y"": 0.7079774122293256, ""knot_0_y"": -0.06478937382748798, ""knot_4_y"": -0.04231416127561113}, 0.9585855164793309], [""knot_3_x"", 6049.446445074161, false, null, -Infinity, Infinity, 0, null, 6049.446445074161], [""knot_3_y"", 0.9675127246123808, true, null, -Infinity, Infinity, 0.0016691168193998965, {""vsini"": 0.005318269029254252, ""knot_2_y"": 0.7079774122293256, ""knot_1_y"": -0.24338400397495616, ""knot_0_y"": 0.212290012311565, ""knot_4_y"": 0.47685895299245323}, 0.9615157198714109], [""knot_4_x"", 6066.017050303375, false, null, -Infinity, Infinity, 0, null, 6066.017050303375], [""knot_4_y"", 0.9643073841184706, true, null, -Infinity, Infinity, 0.0016864219230792303, {""vsini"": 0.010919229815802, ""knot_2_y"": -0.04231416127561116, ""knot_1_y"": -0.03841216387211309, ""knot_3_y"": 0.47685895299245357, ""knot_0_y"": 0.0002080643884279393}, 0.9459169455245166], [""vsini"", 30.929240801055894, true, null, 0.0, Infinity, 1.0556124333675978, {""knot_2_y"": 0.010537176934339578, ""knot_1_y"": 0.019171591961284106, ""knot_3_y"": 0.005318269029254262, ""knot_0_y"": -0.0025163930885996355, ""knot_4_y"": 0.010919229815802007}, 10.0]]"
7,,rj216.111,3680,60,0.452,0.019,0.14,0.08,0.49200000000000005,0.049,Mann,16.960671942902124,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.8255967125361311, true, null, -Infinity, Infinity, 0.006826340093267182, {""vsini"": -0.003157970832894678, ""knot_1_y"": -0.2931317787825376, ""knot_3_y"": 0.21144857165067507, ""knot_2_y"": -0.07928780473822776, ""knot_4_y"": -0.014834124646638377}, 0.8495205159258109], [""knot_1_x"", 6016.543004845413, false, null, -Infinity, Infinity, 0, null, 6016.543004845413], [""knot_1_y"", 0.9049431680592567, true, null, -Infinity, Infinity, 0.0027932425966620206, {""vsini"": 0.024173877888508333, ""knot_2_y"": 0.3126045621144983, ""knot_3_y"": -0.2582345621390748, ""knot_0_y"": -0.2931317787825381, ""knot_4_y"": -0.017237088724935564}, 0.7851779052002403], [""knot_2_x"", 6033.125858149306, false, null, -Infinity, Infinity, 0, null, 6033.125858149306], [""knot_2_y"", 0.9120270575855312, true, null, -Infinity, Infinity, 0.0019345609438316837, {""vsini"": 0.014595653115679523, ""knot_1_y"": 0.31260456211449844, ""knot_3_y"": 0.6804218560573186, ""knot_0_y"": -0.07928780473822807, ""knot_4_y"": -0.0846949207065668}, 0.8900901183519838], [""knot_3_x"", 6049.75441727188, false, null, -Infinity, Infinity, 0, null, 6049.75441727188], [""knot_3_y"", 0.9017161657526773, true, null, -Infinity, Infinity, 0.0018463195711529903, {""vsini"": 0.0028278823274500257, ""knot_2_y"": 0.6804218560573188, ""knot_1_y"": -0.2582345621390747, ""knot_0_y"": 0.21144857165067432, ""knot_4_y"": 0.4473627253237095}, 0.8870417159895079], [""knot_4_x"", 6066.42880818796, false, null, -Infinity, Infinity, 0, null, 6066.42880818796], [""knot_4_y"", 0.8927203089068717, true, null, -Infinity, Infinity, 0.0019297199629527294, {""vsini"": 0.004079952205622252, ""knot_2_y"": -0.08469492070656676, ""knot_1_y"": -0.01723708872493541, ""knot_3_y"": 0.44736272532370946, ""knot_0_y"": -0.014834124646638773}, 0.8554007193537364], [""vsini"", 59.40446973921379, true, null, 0.0, Infinity, 2.663931643054153, {""knot_2_y"": 0.01459565311567952, ""knot_1_y"": 0.024173877888508333, ""knot_3_y"": 0.002827882327450026, ""knot_0_y"": -0.0031579708328946725, ""knot_4_y"": 0.004079952205622249}, 10.0]]"
8,245409.0,rj222.308,3966,60,0.601,0.02,0.05,0.08,0.6459999999999999,0.065,Mann,126.65540637518106,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.9347216648938489, true, null, -Infinity, Infinity, 0.005603322405824178, {""vsini"": -0.00323670789595729, ""knot_1_y"": -0.30918186642650275, ""knot_3_y"": 0.21247387590636224, ""knot_2_y"": -0.0624309352475067, ""knot_4_y"": -0.0033445326576479716}, 0.6479179182764647], [""knot_1_x"", 6016.502166408676, false, null, -Infinity, Infinity, 0, null, 6016.502166408676], [""knot_1_y"", 0.959611898287899, true, null, -Infinity, Infinity, 0.002427534903902954, {""vsini"": 0.01918549607503408, ""knot_2_y"": 0.2994965633349781, ""knot_3_y"": -0.24484091823782694, ""knot_0_y"": -0.309181866426501, ""knot_4_y"": -0.03390069975012652}, 0.9582888434176347], [""knot_2_x"", 6033.043956435212, false, null, -Infinity, Infinity, 0, null, 6033.043956435212], [""knot_2_y"", 0.9704342125567025, true, null, -Infinity, Infinity, 0.0017817644838610727, {""vsini"": 0.010436352754973613, ""knot_1_y"": 0.2994965633349785, ""knot_3_y"": 0.7062516112278769, ""knot_0_y"": -0.06243093524750782, ""knot_4_y"": -0.049683931723489845}, 0.9959289026081112], [""knot_3_x"", 6049.631226511404, false, null, -Infinity, Infinity, 0, null, 6049.631226511404], [""knot_3_y"", 0.966138447052477, true, null, -Infinity, Infinity, 0.0017285630714532437, {""vsini"": 0.006012841258577984, ""knot_2_y"": 0.7062516112278773, ""knot_1_y"": -0.2448409182378267, ""knot_0_y"": 0.2124738759063614, ""knot_4_y"": 0.4728005576124784}, 0.9691530504910988], [""knot_4_x"", 6066.264101680243, false, null, -Infinity, Infinity, 0, null, 6066.264101680243], [""knot_4_y"", 0.9559099150349293, true, null, -Infinity, Infinity, 0.001755053913771532, {""vsini"": 0.012792639225633895, ""knot_2_y"": -0.04968393172348978, ""knot_1_y"": -0.033900699750126446, ""knot_3_y"": 0.47280055761247836, ""knot_0_y"": -0.0033445326576481854}, 0.9346718080799095], [""vsini"", 24.742044329752048, true, null, 0.0, Infinity, 0.8666660321947518, {""knot_2_y"": 0.010436352754973606, ""knot_1_y"": 0.01918549607503408, ""knot_3_y"": 0.006012841258577984, ""knot_0_y"": -0.0032367078959572577, ""knot_4_y"": 0.012792639225633895}, 10.0]]"
9,,rj63.474,3801,60,0.423,0.015,-0.34,0.08,0.47100000000000003,0.047,Mann,80.29960104647552,"[[""num_knots"", 5, false, null, -Infinity, Infinity, 0, null, 5], [""knot_0_x"", 6000.005731731656, false, null, -Infinity, Infinity, 0, null, 6000.005731731656], [""knot_0_y"", 0.942320771350019, true, null, -Infinity, Infinity, 0.004600127126963744, {""vsini"": -0.00010628445837796512, ""knot_1_y"": -0.3105495996688531, ""knot_3_y"": 0.21375284377118908, ""knot_2_y"": -0.06224311184666419, ""knot_4_y"": -0.001130106494233911}, 0.9417585468278005], [""knot_1_x"", 6016.420490366793, false, null, -Infinity, Infinity, 0, null, 6016.420490366793], [""knot_1_y"", 0.9777076234340184, true, null, -Infinity, Infinity, 0.0019776371265010804, {""vsini"": 0.015019043397376529, ""knot_2_y"": 0.29813437887129585, ""knot_3_y"": -0.24525710452616323, ""knot_0_y"": -0.3105495996688535, ""knot_4_y"": -0.036693241406101765}, 0.6656226052622699], [""knot_2_x"", 6032.880156342545, false, null, -Infinity, Infinity, 0, null, 6032.880156342545], [""knot_2_y"", 0.9556557596980173, true, null, -Infinity, Infinity, 0.001459117804578715, {""vsini"": 0.007361208647193311, ""knot_1_y"": 0.2981343788712952, ""knot_3_y"": 0.7083702807985851, ""knot_0_y"": -0.06224311184666467, ""knot_4_y"": -0.04464895674860964}, 0.9419358698985133], [""knot_3_x"", 6049.384852515976, false, null, -Infinity, Infinity, 0, null, 6049.384852515976], [""knot_3_y"", 0.9464911261244747, true, null, -Infinity, Infinity, 0.0014222594568969289, {""vsini"": 0.0025098578676812674, ""knot_2_y"": 0.708370280798585, ""knot_1_y"": -0.24525710452616362, ""knot_0_y"": 0.21375284377118883, ""knot_4_y"": 0.4756517038574161}, 0.9878239536489004], [""knot_4_x"", 6065.934702080283, false, null, -Infinity, Infinity, 0, null, 6065.934702080283], [""knot_4_y"", 0.9535551372002309, true, null, -Infinity, Infinity, 0.001442754916991629, {""vsini"": 0.006069719697485139, ""knot_2_y"": -0.04464895674860974, ""knot_1_y"": -0.03669324140610156, ""knot_3_y"": 0.4756517038574159, ""knot_0_y"": -0.0011301064942343543}, 0.38581150792572466], [""vsini"", 54.93347054584675, true, null, 0.0, Infinity, 1.4770542115701888, {""knot_2_y"": 0.007361208647193319, ""knot_1_y"": 0.015019043397376532, ""knot_3_y"": 0.0025098578676812718, ""knot_0_y"": -0.00010628445837797215, ""knot_4_y"": 0.006069719697485138}, 10.0]]"
