lib_index,cps_name,lib_obs,source,source_name,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age,vsini,Plx,u_Plx,Plx_source,Vmag,snr
319,100623,rj06.1125,Brewer,HD 100623,5140.200,60.000,0.730,0.030,4.558,0.050,-0.362,0.050,0.730,0.020,10.020,0.280,0.290,104.590,0.400,Gaia,5.980,175.723
367,101904,rj20.1313,Brewer,HD 101904,5883.200,60.000,1.550,0.100,4.104,0.050,0.119,0.050,1.120,0.040,9.820,0.050,2.460,12.510,0.260,Gaia,8.200,149.859
325,102195,rj15.2019,Brewer,HD 102195,5276.800,60.000,0.860,0.040,4.503,0.050,0.101,0.050,0.880,0.020,9.850,0.320,2.820,34.020,0.260,Gaia,8.060,174.120
275,102444,rj72.386,Brewer,HD 102444,5227.300,60.000,2.890,0.210,3.600,0.050,-0.004,0.050,1.220,0.110,9.720,0.130,2.790,8.480,0.240,Gaia,7.950,152.778
263,102956,rj72.98,Brewer,HD 102956,4985.100,60.000,3.910,0.280,3.385,0.050,0.260,0.050,1.340,0.130,9.660,0.140,1.490,8.130,0.240,Gaia,7.851,154.959
301,103459,rj117.364,Brewer,HD 103459,5721.600,60.000,1.710,0.130,4.031,0.050,0.240,0.050,1.150,0.070,9.830,0.080,2.180,16.020,0.900,Hipparcos,7.600,152.414
379,103890,rj05.1265,Brewer,HD 103890,6120.500,60.000,1.440,0.090,4.191,0.050,0.025,0.050,1.170,0.040,9.660,0.060,3.570,13.720,0.260,Gaia,7.980,171.592
355,104437,rj32.1740,Brewer,HD 104437,5760.900,60.000,1.050,0.050,4.399,0.050,0.165,0.050,1.030,0.020,9.700,0.160,1.600,16.590,0.230,Gaia,8.600,163.683
288,106088,rj21.1217,Brewer,HD 106088,5469.600,60.000,2.150,0.170,3.870,0.050,0.341,0.050,1.250,0.090,9.740,0.090,2.030,10.330,0.250,Gaia,8.370,159.255
302,107181,rj20.823,Brewer,HD 107181,5628.100,60.000,1.670,0.120,4.049,0.050,0.312,0.050,1.130,0.080,9.860,0.100,2.500,12.510,0.330,Gaia,8.400,134.969
273,108189,rj72.389,Brewer,HD 108189,5373.100,60.000,3.130,0.240,3.560,0.050,0.027,0.050,1.360,0.120,9.590,0.130,6.810,7.540,0.300,Gaia,7.740,152.977
236,108863,rj72.738,Brewer,HD 108863,4878.500,60.000,5.620,0.410,3.075,0.050,0.202,0.050,1.370,0.120,9.620,0.130,1.940,5.850,0.300,Gaia,7.720,156.294
270,109159,rj72.387,Brewer,HD 109159,5150.700,60.000,2.510,0.140,3.598,0.050,-0.078,0.050,0.910,0.020,10.120,0.060,0.710,9.720,0.290,Gaia,7.970,153.599
