,cps_name,obs,Teff,u_Teff,radius,u_radius,FeH,u_FeH,mass,u_mass,Source
0,GL702B,rj187.477,3458,60,0.414,0.017,-0.13,0.08,0.401,0.04,Mann
1,GL793,rj97.2604,3900,60,0.62,0.021,0.14,0.08,0.654,0.065,Mann
2,GL83.1,rj222.304,3080,60,0.187,0.01,-0.16,0.08,0.144,0.014,Mann
3,GL875,rj190.1206,3638,62,0.443,0.017,-0.36,0.08,0.44,0.044,Mann
4,GL105B,rj15.1926,3284,60,0.278,0.01,-0.12,0.03,0.246,0.025,Mann
5,GL109_RVSTD,rj222.82,3405,60,0.364,0.014,-0.1,0.08,0.343,0.034,Mann
6,232979,rj149.101,3929,60,0.608,0.02,-0.11,0.08,0.651,0.065,Mann
7,GJ176,rj216.111,3680,60,0.452,0.019,0.14,0.08,0.492,0.049,Mann
8,245409,rj222.308,3966,60,0.601,0.02,0.05,0.08,0.646,0.065,Mann
9,GL239,rj63.474,3801,60,0.423,0.015,-0.34,0.08,0.471,0.047,Mann
10,GL250B,rj82.218,3481,60,0.46,0.017,0.14,0.03,0.444,0.044,Mann
11,265866,rj149.110,3448,60,0.358,0.013,-0.02,0.08,0.352,0.035,Mann
12,GL273,rj82.219,3317,60,0.315,0.012,-0.11,0.08,0.283,0.028,Mann
13,GL2066,rj69.108,3500,60,0.461,0.017,-0.12,0.08,0.452,0.045,Mann
14,GL382,rj118.811,3623,60,0.522,0.019,0.13,0.08,0.525,0.053,Mann
15,GL393,rj138.232,3548,60,0.42,0.016,-0.18,0.08,0.426,0.043,Mann
16,GL406,rj06.1479,2818,60,0.1348,0.0058,0.25,0.08,0.0997,0.01,Mann
17,GL412A,rj50.360,3619,60,0.383,0.013,-0.37,0.08,0.39,0.039,Mann
18,111631,rj55.1182,3989,60,0.646,0.02,0.24,0.08,0.698,0.07,Mann
19,GL514,rj165.480,3727,61,0.483,0.016,-0.09,0.08,0.527,0.053,Mann
20,119850,rj172.1470,3649,60,0.478,0.016,-0.31,0.08,0.465,0.046,Mann
21,GL625,rj35.854,3475,60,0.331,0.012,-0.35,0.08,0.315,0.032,Mann
22,GJ628,rj213.76,3272,60,0.325,0.012,-0.03,0.08,0.294,0.029,Mann
23,157881,rj76.1490,4124,60,0.649,0.02,0.19,0.08,0.706,0.071,Mann
24,GL687,rj172.1088,3439,60,0.414,0.015,0.05,0.08,0.405,0.041,Mann
25,GL686,rj59.1274,3657,60,0.424,0.015,-0.25,0.08,0.442,0.044,Mann
26,GL694,rj59.1284,3464,61,0.44,0.017,0.0,0.08,0.43,0.043,Mann
27,GL699,rj130.2075,3228,60,0.1863,0.0071,-0.4,0.08,0.155,0.015,Mann
28,165222,rj72.168,3614,60,0.459,0.016,-0.22,0.08,0.471,0.047,Mann
29,173739,rj70.783,3441,60,0.351,0.013,-0.23,0.08,0.334,0.033,Mann
30,173740,rj70.782,3345,60,0.273,0.011,-0.3,0.08,0.248,0.025,Mann
31,GL745A,rj97.2588,3500,60,0.31,0.012,-0.33,0.08,0.296,0.03,Mann
32,180617,rj59.993,3558,60,0.474,0.016,0.1,0.08,0.475,0.047,Mann
33,GL1245B,rj21.1548,2859,60,0.143,0.0069,-0.05,0.08,0.103,0.01,Mann
34,GL806,rj59.1031,3542,61,0.443,0.018,-0.15,0.08,0.432,0.043,Mann
35,199305,rj59.1033,3791,60,0.529,0.017,-0.06,0.08,0.581,0.058,Mann
36,201092,rj38.235,4021,74,0.602,0.023,-0.22,0.08,0.641,0.064,Mann
37,HIP104432,rj59.2216,3545,60,0.369,0.016,-0.45,0.08,0.356,0.036,Mann
38,209290,rj134.385,3848,60,0.546,0.019,0.02,0.08,0.59,0.059,Mann
39,HIP109388,rj02.947,3530,60,0.47,0.018,0.37,0.08,0.482,0.048,Mann
40,GL875,rj190.1206,3740,61,0.563,0.024,0.02,0.08,0.578,0.058,Mann
41,GL876,rj45.605,3247,60,0.363,0.014,0.17,0.08,0.328,0.033,Mann
42,216899,rj59.1926,3720,60,0.549,0.018,0.21,0.08,0.574,0.057,Mann
43,217987,rj59.2222,3688,86,0.468,0.022,-0.06,0.08,0.495,0.049,Mann
44,HIP115332,rj222.273,3324,60,0.416,0.02,0.24,0.08,0.391,0.039,Mann
45,HIP115562,rj15.943,3764,60,0.539,0.02,0.31,0.08,0.585,0.058,Mann
46,GL896A,rj193.921,3353,60,0.409,0.016,0.03,0.08,0.379,0.038,Mann
47,GL908,rj131.1109,3646,60,0.407,0.014,-0.45,0.08,0.408,0.041,Mann
48,CK00001,rj122.742,5850,50,0.95,0.02,-0.15,0.1,0.94,0.05,Huber
49,CK00002,rj122.92,6350,80,1.991,0.018,0.26,0.08,1.52,0.036,Huber
50,CK00005,rj122.762,5753,75,1.747,0.042,0.05,0.1,1.13,0.065,Huber
51,CK00007,rj122.770,5781,76,1.533,0.04,0.09,0.1,1.092,0.073,Huber
52,K00041,rj126.89,5825,75,1.49,0.035,0.02,0.1,1.08,0.063,Huber
53,CK00042,rj122.83,6325,75,1.361,0.018,0.01,0.1,1.242,0.045,Huber
54,CK00064,rj128.491,5302,75,2.437,0.072,-0.0,0.1,1.262,0.089,Huber
55,CK00069,rj122.86,5669,75,0.921,0.02,-0.18,0.1,0.909,0.057,Huber
56,K00072,rj205.84,5627,44,1.056,0.021,-0.15,0.04,0.895,0.06,Huber
57,CK00075,rj122.94,5896,75,2.527,0.059,-0.17,0.1,1.33,0.069,Huber
58,K00085,rj124.134,6169,50,1.424,0.024,0.09,0.08,1.273,0.061,Huber
59,K00087,rj131.692,5642,50,0.979,0.02,-0.27,0.08,0.97,0.06,Huber
60,CK00097,rj128.79,6027,75,1.962,0.066,0.1,0.1,1.318,0.089,Huber
61,CK00098,rj122.768,6378,75,2.075,0.07,-0.02,0.1,1.391,0.098,Huber
62,CK00107,rj120.349,5862,97,1.586,0.061,0.27,0.11,1.201,0.091,Huber
63,CK00108,rj122.771,5845,88,1.436,0.039,0.07,0.11,1.094,0.068,Huber
64,CK00113,rj117.639,5543,79,1.58,0.064,0.44,0.1,1.103,0.097,Huber
65,CK00117,rj117.640,5851,75,1.411,0.047,0.27,0.1,1.142,0.068,Huber
66,CK00118,rj118.465,5747,85,1.357,0.04,0.03,0.1,1.023,0.07,Huber
67,CK00119,rj131.1101,5854,92,2.192,0.121,0.31,0.11,1.377,0.089,Huber
68,K00122,rj124.138,5699,74,1.415,0.039,0.3,0.1,1.084,0.076,Huber
69,CK00123,rj122.773,5952,75,1.323,0.037,-0.08,0.1,1.039,0.065,Huber
